date,Instrument,Buy Time,Buy Price (Avg),Sell Price (Avg),Qty,Pt,Rs,Net P/L,Gross P/L,Day P&L,Broker,Note,Brokerage,Image Tags,Other Charges,Sell Time,Sequence,Tags,Thumbnail,Total Fees,Total Trades,TradeType,Video,audios,imageTags,tags,trade_date,videos,fill_count,marqueeBoxes,observation,overlays,csvlog,note,subImages,fabricData,tradeReview,groupNames,heroImage,tradeLogger,_placeholder,_placeholderLabel,tradeTags,tagPins,imagePins
2026-02-20,NIFTY26FEB25450CE,09:30:39,118.45,120.8,130,2.35,305.5,229.24,305.5,305.5,zerodha,,40,,36.26,09:24:59,t1,[],,76.26,,sell,,{},{},[],2026-02-20,{},,,,,,,,,,,,,,,,,
2026-02-20,NIFTY26FEB25450PE,09:35:31,106.55,132.75,130,26.2,3406,3328.23,3406,3711.5,zerodha,,40,,37.77,09:32:43,t2,[],,77.77,,sell,,{},{},[],2026-02-20,{},,,,,,,,,,,,,,,,,
2026-02-18,NIFTY 24 FEB 25700 CALL,09:30:10,159.85,161.05,65,1.2,78,11.35,78,78,dhan,<b>t3sadsada ye sahi hai kaam kar raha</b><div><b><br></b></div><div><b><u>sadasda</u></b></div>,40,,26.65,09:45:35,t1,[],,66.65,,buy,,{},{},[],2026-02-18,{},2,{'/uploads/4f939a2e-9f5e-4a32-8e05-5676185417aa.png': []},,{},,,,,,,,,,,,,
2026-02-18,NIFTY26FEB25750PE,09:50:32,142.85,137.05,130,-5.8,-754,-834.66,-754,-676,zerodha,,40,,40.66,09:27:15,t2,[],,80.66,,sell,,{},{},[],2026-02-18,{},,,,,,,,,,,,,,,,,
2026-02-18,NIFTY26FEB25700CE,10:01:09,130.5,153.6,130,23.1,3003,2920.01,3003,2327,zerodha,,40,,42.99,09:52:06,t3,[],,82.99,,sell,,{},{},[],2026-02-18,{},,,,,,,,,,,,,,,,,
2026-02-23,NIFTY26FEB25700CE,09:30:04,144.55,132.55,130,-12,-1560,-1639.93,-1560,-1560,zerodha,,40,,39.93,09:29:31,t1,[],,79.93,,sell,,{},{},[],2026-02-23,{},,,adasd,,,,,,,,,,,,,,
2026-02-23,NIFTY26FEB25750CE,09:38:10,119.1,106.6,130,-12.5,-1625,-1698.69,-1625,-3185,zerodha,,40,,33.69,09:31:55,t2,[],,73.69,,sell,,{},{},[],2026-02-23,{},,,,,,,,,,,,,,,,,
2026-02-23,NIFTY26FEB25700CE,09:41:30,131.125,133.5,130,2.375,308.75,229.42,308.75,-2876.25,zerodha,,40,,39.33,09:39:13,t3,[],,79.33,,sell,,{},{},[],2026-02-23,{},,,,,,,,,,,,,,,,,
2026-02-23,NIFTY26FEB25600CE,09:59:08,196.5,197.75,130,1.25,162.5,67.58,162.5,-2713.75,zerodha,,40,,54.92,09:52:25,t4,[],,94.92,,sell,,{},{},[],2026-02-23,{},,,,,,,,,,,,,,,,,
2026-02-23,NIFTY 24 FEB 25750 PUT,10:15:03,110.9,106.9,65,-4,-260,-320.25,-260,-2973.75,dhan,,40,,20.25,10:15:22,t5,[],,60.25,,buy,,{},{},[],2026-02-23,{},2,,,,,,,,,,,,,,,,
2026-02-23,NIFTY26FEB25650CE,10:32:19,127.1,157.55,130,30.45,3958.5,3874.98,3958.5,984.75,zerodha,,40,,43.52,10:00:03,t6,[],,83.52,,sell,,{},{},[],2026-02-23,{},,{'/uploads/064d8c2a-5b31-4410-a04f-cb9d93668ae3.png': []},,,,,,,,,,,,,,,
2026-02-17,NIFTY2621725700PE,09:36:29,128.45,129.65,130,1.2,156,77.54,156,156,zerodha,,40,,38.46,09:32:45,t1,[],,78.46,,sell,,{},{},[],2026-02-17,{},,,,,,,,,,,,,,,,,
2026-02-17,NIFTY2621725650PE,09:43:26,62.225,85.45,130,23.225,3019.25,2952.74,3019.25,3175.25,zerodha,,40,,26.51,09:37:37,t2,[],,66.51,,sell,,{},{},[],2026-02-17,{},,,,,,,,,,,,,,,,,
