time,open,high,low,close,vol
09:15,770.0,772.25,769.0,771.7,835078
09:16,771.8,771.8,770.35,771.5,279834
09:17,771.5,771.5,769.35,769.55,284187
09:18,769.45,769.85,768.65,768.65,208611
09:19,768.9,768.9,767.55,768.0,200609
09:20,767.9,768.25,767.1,768.0,143744
09:21,767.85,768.35,767.15,767.25,137524
09:22,767.2,767.25,765.65,766.8,236307
09:23,766.65,767.0,766.15,766.25,111726
09:24,766.0,766.4,765.4,766.25,184020
09:25,766.35,766.45,765.3,765.7,188511
09:26,765.75,765.9,765.45,765.6,121062
09:27,765.7,765.85,764.5,765.0,288844
09:28,764.9,764.95,763.4,763.8,241511
09:29,763.8,763.8,762.95,763.5,201464
09:30,763.45,764.0,763.45,764.0,112824
09:31,763.9,764.75,763.9,764.4,110682
09:32,764.3,765.25,764.3,765.0,68237
09:33,764.9,765.4,764.6,765.2,178362
09:34,765.0,765.15,764.5,764.6,90885
09:35,764.65,765.3,764.65,765.1,99147
09:36,765.15,765.15,764.3,765.15,109000
09:37,765.05,765.3,764.8,765.15,60686
09:38,765.1,765.5,765.1,765.35,55469
09:39,765.2,765.5,764.9,765.0,78033
09:40,765.0,765.0,764.4,764.65,102797
09:41,764.8,765.6,764.8,765.6,64682
09:42,765.5,766.75,765.5,766.45,130701
09:43,766.45,766.95,766.3,766.35,114800
09:44,766.6,767.5,766.3,767.3,185141
09:45,767.45,768.6,767.3,768.45,219997
09:46,768.3,768.95,768.1,768.5,225432
09:47,768.5,769.0,768.25,768.45,190783
09:48,768.25,768.5,767.85,768.0,150360
09:49,767.7,768.7,767.65,768.5,133438
09:50,768.55,769.55,768.25,768.7,201451
09:51,768.7,769.2,768.0,768.8,87175
09:52,768.9,769.5,768.7,768.7,156511
09:53,768.7,768.95,768.4,768.4,79293
09:54,768.3,768.8,768.0,768.45,93167
09:55,768.4,768.9,768.2,768.4,82738
09:56,768.4,768.5,767.6,767.75,166400
09:57,767.6,767.6,766.8,767.0,63017
09:58,766.8,767.0,766.65,766.95,34124
09:59,767.0,767.0,766.25,767.0,74614
10:00,766.9,767.15,766.4,766.75,257751
10:01,766.95,767.05,766.45,766.9,109911
10:02,766.75,766.95,766.25,766.5,86463
10:03,766.55,767.1,766.15,766.85,122515
10:04,766.85,767.45,766.65,767.0,74204
10:05,766.9,767.25,766.6,766.6,149811
10:06,766.75,766.8,766.5,766.75,116318
10:07,766.75,767.55,766.25,766.45,139688
10:08,766.2,766.65,765.7,766.0,81147
10:09,765.95,765.95,765.05,765.25,205608
10:10,765.25,766.0,765.25,766.0,126410
10:11,765.95,766.0,765.6,766.0,62613
10:12,765.8,766.4,765.3,765.4,301128
10:13,765.85,766.05,765.05,765.95,256154
10:14,765.95,766.15,764.8,764.95,261587
10:15,764.95,765.45,764.85,765.0,99517
10:16,764.85,765.0,764.4,764.5,89066
10:17,764.5,764.7,764.0,764.7,180661
10:18,764.6,765.0,764.2,764.5,52434
10:19,764.7,765.0,764.7,765.0,44584
10:20,765.0,765.0,764.0,764.1,62535
10:21,764.1,764.5,763.75,764.35,143717
10:22,764.4,764.7,763.9,764.1,114234
10:23,764.15,764.3,763.7,763.7,72287
10:24,763.7,763.7,762.5,763.3,253972
10:25,763.4,764.0,763.0,763.95,73676
10:26,763.75,764.15,763.35,763.4,53830
10:27,763.35,764.2,763.35,764.0,85659
10:28,764.0,764.05,763.5,763.55,51421
10:29,763.6,763.75,763.4,763.45,56674
10:30,763.35,763.85,763.3,763.7,49348
10:31,763.65,763.8,763.5,763.8,56537
10:32,763.85,764.05,762.9,763.0,213468
10:33,763.0,763.55,763.0,763.2,106139
10:34,763.3,763.3,762.25,763.2,227025
10:35,763.15,763.85,762.75,763.7,97129
10:36,763.7,763.95,762.7,763.6,192453
10:37,763.7,764.0,763.0,763.8,72256
10:38,763.75,765.0,763.75,764.15,106086
10:39,764.4,765.2,764.2,765.0,116947
10:40,765.0,766.55,764.8,766.45,259083
10:41,766.25,767.0,766.1,766.8,103600
10:42,766.8,766.95,766.5,766.5,82586
10:43,766.6,766.9,766.35,766.6,65295
10:44,766.75,767.75,766.5,767.5,114206
10:45,767.35,767.5,766.7,766.95,67459
10:46,766.7,766.9,765.45,765.75,117778
10:47,765.95,765.95,765.1,765.65,39105
10:48,765.65,766.0,765.55,765.75,58784
10:49,765.8,766.45,765.65,766.05,41217
10:50,766.1,766.2,765.4,765.7,53717
10:51,765.7,767.05,765.7,767.0,69590
10:52,766.8,766.9,765.5,765.75,92272
10:53,765.75,766.2,765.7,766.2,49249
10:54,766.15,766.15,765.6,765.7,29108
10:55,765.9,766.0,765.25,765.9,72005
10:56,765.75,766.25,765.3,765.3,31894
10:57,765.25,766.15,765.25,765.65,91390
10:58,765.8,766.6,765.8,766.15,65630
10:59,766.15,766.5,765.6,765.9,57929
11:00,765.95,766.45,765.55,766.35,73839
11:01,766.35,766.7,766.0,766.25,90150
11:02,766.4,766.8,766.25,766.75,47405
11:03,766.7,766.9,766.3,766.4,68328
11:04,766.3,766.5,765.75,766.1,70670
11:05,766.1,766.55,766.0,766.25,62329
11:06,766.35,767.5,766.35,767.45,191280
11:07,767.45,767.65,767.1,767.1,126981
11:08,767.1,767.1,766.4,766.4,104966
11:09,766.45,767.2,766.0,767.2,193870
11:10,767.15,767.5,766.8,767.45,100677
11:11,767.4,767.4,766.85,767.2,64256
11:12,767.2,767.4,767.05,767.15,45554
11:13,767.1,767.45,767.0,767.15,54488
11:14,767.15,767.15,765.6,765.65,161337
11:15,765.9,765.9,765.25,765.9,64953
11:16,765.9,766.55,765.8,766.25,178868
11:17,766.45,766.5,765.55,765.55,41606
11:18,765.55,766.1,765.25,765.8,45177
11:19,765.7,765.85,765.45,765.5,31975
11:20,765.5,765.75,765.05,765.2,57229
11:21,765.2,765.85,765.15,765.35,45333
11:22,765.35,765.7,765.25,765.5,43961
11:23,765.5,765.8,765.1,765.15,47294
11:24,765.15,765.45,765.05,765.2,58348
11:25,765.15,765.8,765.0,765.35,86506
11:26,765.45,766.0,765.45,765.7,43309
11:27,765.7,766.0,765.35,765.65,45961
11:28,765.45,765.8,765.35,765.6,30675
11:29,765.6,765.65,765.1,765.2,24806
11:30,765.15,765.3,765.05,765.25,22175
11:31,765.2,765.65,765.2,765.55,23303
11:32,765.65,765.8,765.2,765.3,31209
11:33,765.3,765.7,765.25,765.55,23278
11:34,765.55,765.8,765.4,765.8,55092
11:35,765.75,766.75,765.75,766.7,74691
11:36,766.7,766.8,766.4,766.5,60965
11:37,766.4,766.45,765.9,765.9,44221
11:38,765.75,765.9,765.15,765.4,125744
11:39,765.25,766.35,765.25,766.25,79286
11:40,766.0,766.3,765.5,765.6,43665
11:41,765.75,766.05,765.7,766.0,24085
11:42,765.9,766.35,765.55,766.2,43773
11:43,766.2,767.0,766.2,766.5,52382
11:44,766.85,767.45,766.85,767.15,113582
11:45,767.15,767.5,766.9,767.1,96843
11:46,766.95,767.7,766.95,767.6,72363
11:47,767.7,767.7,767.3,767.6,41016
11:48,767.3,767.8,767.2,767.75,41134
11:49,767.65,768.0,767.45,768.0,177320
11:50,768.0,768.0,767.7,767.7,144721
11:51,767.8,768.0,767.55,767.95,95837
11:52,767.75,768.0,767.7,767.75,51413
11:53,767.65,767.9,767.6,767.85,37222
11:54,767.8,768.4,767.75,768.35,68074
11:55,768.4,768.9,768.0,768.2,106830
11:56,768.05,768.55,767.6,767.8,56027
11:57,767.8,767.9,767.2,767.5,50021
11:58,767.3,767.55,767.15,767.5,155874
11:59,767.45,767.5,767.0,767.15,92881
12:00,767.15,767.4,766.75,766.75,74928
12:01,766.85,767.0,766.15,766.3,91689
12:02,766.35,766.8,766.35,766.8,53341
12:03,766.8,767.0,766.45,767.0,179466
12:04,766.45,767.3,766.3,767.0,193918
12:05,766.95,767.2,766.6,766.85,188021
12:06,766.8,767.85,766.65,767.8,134646
12:07,767.85,768.45,767.45,767.9,149303
12:08,767.75,768.95,767.55,768.75,271911
12:09,768.75,771.0,768.75,770.0,392764
12:10,770.05,770.4,769.35,769.75,91774
12:11,769.8,770.0,769.2,769.5,129439
12:12,769.55,769.9,768.3,768.4,169283
12:13,768.3,769.7,768.25,769.35,112220
12:14,769.25,770.4,769.05,770.15,56092
12:15,770.45,771.1,769.75,770.35,78797
12:16,770.45,771.0,770.05,770.75,61137
12:17,770.55,771.0,770.35,770.65,46447
12:18,770.5,770.85,770.3,770.7,31279
12:19,770.7,770.8,770.0,770.0,64875
12:20,770.0,770.35,769.6,769.85,34723
12:21,769.55,771.15,769.5,771.1,175117
12:22,770.8,771.0,770.35,770.45,29506
12:23,770.4,771.8,770.4,771.2,197893
12:24,770.85,772.35,770.75,771.4,167176
12:25,771.5,771.9,771.15,771.5,56275
12:26,771.5,772.4,771.0,771.1,130209
12:27,771.05,771.7,771.0,771.15,58221
12:28,771.35,771.7,770.0,770.3,286131
12:29,770.0,771.0,769.95,770.8,63088
12:30,770.9,771.4,770.6,771.1,84299
12:31,771.3,771.3,770.15,770.55,124500
12:32,770.3,770.5,770.0,770.0,80998
12:33,770.05,770.9,770.05,770.35,38699
12:34,770.3,771.0,770.15,770.5,70885
12:35,770.8,771.45,770.75,771.0,101384
12:36,770.8,771.15,770.3,770.55,51605
12:37,770.55,770.55,770.0,770.05,114400
12:38,770.0,770.55,770.0,770.55,91735
12:39,770.5,770.8,770.15,770.35,39312
12:40,770.25,770.85,770.15,770.2,29077
12:41,770.1,770.7,770.0,770.1,58348
12:42,770.0,770.9,770.0,770.85,54216
12:43,770.75,770.75,770.05,770.35,42457
12:44,770.25,770.5,770.0,770.5,32837
