time,open,high,low,close,vol
09:15,594.35,594.35,587.2,590.2,34556
09:16,590.4,590.4,588.25,588.55,13247
09:17,588.6,589.85,588.35,588.95,10635
09:18,589.3,589.3,588.5,588.55,8015
09:19,588.55,588.65,587.15,587.45,18510
09:20,587.45,587.5,585.05,585.7,20637
09:21,585.6,586.55,585.6,585.7,11481
09:22,585.7,586.0,585.1,585.7,14935
09:23,585.9,587.8,585.9,586.65,7499
09:24,586.55,586.75,586.05,586.55,4832
09:25,586.5,586.85,586.2,586.6,5345
09:26,586.8,586.8,586.0,586.05,6849
09:27,586.35,586.35,585.9,586.1,10193
09:28,586.0,586.15,585.3,585.5,6204
09:29,585.7,585.7,584.8,584.9,27459
09:30,584.5,585.0,584.2,584.9,10583
09:31,584.8,585.45,584.7,584.8,5954
09:32,585.0,585.7,585.0,585.5,6742
09:33,585.75,586.2,585.15,585.85,10642
09:34,585.95,586.45,585.75,586.45,13635
09:35,586.25,586.95,586.0,586.2,8663
09:36,586.25,586.55,585.95,586.15,7023
09:37,586.15,586.2,585.55,585.9,7189
09:38,585.9,586.7,585.85,586.1,4678
09:39,586.35,586.45,585.55,585.55,4634
09:40,585.55,585.55,585.0,585.4,3901
09:41,585.55,586.55,585.2,586.3,5466
09:42,586.35,587.0,586.35,586.75,6788
09:43,586.8,586.95,586.35,586.5,4443
09:44,586.6,586.95,586.55,586.85,2863
09:45,586.85,587.2,586.8,587.15,4331
09:46,587.25,587.65,587.05,587.2,4964
09:47,587.1,587.1,586.75,586.8,3717
09:48,586.8,586.8,586.5,586.65,4690
09:49,586.65,586.65,586.1,586.3,9215
09:50,586.35,586.45,586.3,586.45,2122
09:51,586.45,586.5,585.35,585.35,15164
09:52,585.65,585.75,584.5,585.0,28803
09:53,584.9,585.25,584.7,584.8,21576
09:54,584.65,584.95,584.65,584.8,7218
09:55,584.5,584.7,584.35,584.5,5420
09:56,584.25,584.4,583.65,584.0,29188
09:57,583.85,583.9,583.55,583.9,7266
09:58,583.9,583.9,583.05,583.5,6692
09:59,583.55,584.0,583.45,583.7,9145
10:00,583.7,583.9,583.45,583.55,12091
10:01,583.65,583.95,583.1,583.45,40168
10:02,583.15,583.2,582.95,583.05,33072
10:03,583.0,583.45,582.4,583.0,30286
10:04,583.15,583.35,583.0,583.2,3654
10:05,583.0,583.4,582.65,583.25,7355
10:06,583.25,583.25,582.6,582.75,5511
10:07,582.8,582.85,582.4,582.55,3283
10:08,582.55,582.55,582.1,582.2,7760
10:09,582.2,582.2,581.25,581.4,15442
10:10,581.4,581.4,580.6,580.8,28814
10:11,580.6,580.7,580.2,580.35,34145
10:12,580.3,580.3,579.35,579.85,141504
10:13,579.95,580.7,579.9,580.0,30130
