time,open,high,low,close,vol
09:15,200.89,201.8,200.61,201.67,131643
09:16,201.39,201.5,200.78,200.95,105867
09:17,200.71,200.99,200.32,200.99,133237
09:18,200.99,201.17,200.51,200.74,97569
09:19,200.74,200.76,200.36,200.76,147420
09:20,200.72,200.99,200.7,200.85,66336
09:21,200.8,200.82,200.4,200.48,52075
09:22,200.41,200.5,200.28,200.34,45010
09:23,200.34,200.59,200.34,200.37,44945
09:24,200.44,200.44,200.15,200.32,42703
09:25,200.3,200.37,200.05,200.1,74158
09:26,200.15,200.4,200.05,200.38,45642
09:27,200.38,200.5,200.3,200.42,27566
09:28,200.4,200.6,200.31,200.6,29467
09:29,200.6,200.6,200.35,200.45,45371
09:30,200.36,200.81,200.36,200.76,29326
09:31,200.8,201.18,200.71,201.15,83723
09:32,201.19,201.7,201.18,201.7,69278
09:33,201.63,201.86,201.5,201.64,89460
09:34,201.75,201.93,201.67,201.85,222942
09:35,201.82,201.87,201.61,201.75,174446
09:36,201.71,202.13,201.68,202.03,117230
09:37,202.04,202.14,201.9,201.9,55137
09:38,201.89,201.97,201.78,201.95,119316
09:39,201.93,202.05,201.85,201.94,59974
09:40,201.9,201.98,201.75,201.97,43559
09:41,201.93,202.05,201.76,202.02,48575
09:42,201.92,201.99,201.84,201.85,56858
09:43,201.86,201.89,201.69,201.74,118181
09:44,201.71,201.77,201.63,201.73,56639
09:45,201.73,201.78,201.65,201.76,21241
09:46,201.73,201.85,201.64,201.74,32142
09:47,201.84,201.84,201.72,201.76,15270
09:48,201.72,201.72,201.55,201.68,45842
09:49,201.68,201.75,201.58,201.65,37829
09:50,201.59,201.69,201.57,201.69,53352
09:51,201.69,201.85,201.64,201.84,96448
09:52,201.83,202.04,201.76,201.9,84448
09:53,201.9,202.04,201.85,202.0,56505
09:54,202.0,202.08,201.88,201.88,55769
09:55,201.92,201.92,201.77,201.85,21412
09:56,201.86,201.87,201.7,201.78,38599
09:57,201.73,201.8,201.68,201.68,19570
09:58,201.68,201.8,201.65,201.7,23110
09:59,201.78,201.89,201.73,201.79,13245
10:00,201.79,201.79,201.54,201.54,64549
10:01,201.63,201.63,201.38,201.52,50890
10:02,201.5,201.58,201.36,201.4,32906
10:03,201.35,201.49,201.32,201.46,25468
10:04,201.47,201.49,201.11,201.16,62006
10:05,201.15,201.29,201.02,201.29,32646
10:06,201.28,201.4,201.2,201.32,16923
10:07,201.32,201.33,201.11,201.25,13364
10:08,201.2,201.22,201.05,201.2,15414
10:09,201.2,201.2,200.9,200.93,113208
10:10,200.9,201.09,200.81,200.98,19266
10:11,200.92,201.09,200.92,200.99,23854
10:12,201.04,201.04,200.91,200.95,19392
10:13,200.96,201.04,200.94,201.0,16985
10:14,200.95,201.08,200.95,201.0,14002
10:15,201.03,201.06,200.95,201.06,20046
10:16,201.01,201.06,201.0,201.0,32374
10:17,201.03,201.03,200.67,200.74,75076
10:18,200.75,200.8,200.66,200.78,17112
10:19,200.81,200.95,200.74,200.75,61678
10:20,200.78,200.88,200.71,200.8,20161
10:21,200.87,200.9,200.75,200.9,41913
10:22,200.91,200.96,200.7,200.8,31331
10:23,200.79,200.79,200.61,200.69,30936
10:24,200.69,200.8,200.61,200.8,16866
10:25,200.8,200.82,200.62,200.81,36972
10:26,200.81,200.91,200.7,200.8,25409
10:27,200.79,200.95,200.75,200.91,36391
10:28,200.93,200.93,200.76,200.83,22234
10:29,200.9,200.91,200.79,200.83,14461
10:30,200.82,200.89,200.77,200.85,10741
10:31,200.85,200.95,200.81,200.95,10446
10:32,200.96,200.99,200.88,200.94,11456
10:33,200.9,200.93,200.75,200.81,16365
10:34,200.85,200.85,200.63,200.74,31438
10:35,200.7,200.79,200.65,200.76,13977
10:36,200.7,200.76,200.64,200.69,12046
10:37,200.7,200.7,200.63,200.65,5729
10:38,200.68,200.69,200.56,200.62,46838
10:39,200.58,200.65,200.55,200.65,20434
10:40,200.65,200.7,200.58,200.68,10829
10:41,200.65,200.68,200.55,200.63,44771
10:42,200.65,200.65,200.51,200.58,84410
10:43,200.58,200.69,200.51,200.69,8780
10:44,200.69,200.75,200.6,200.65,15622
10:45,200.65,200.65,200.45,200.5,58646
10:46,200.5,200.5,200.42,200.45,12382
10:47,200.45,200.49,200.28,200.33,60904
10:48,200.34,200.48,200.34,200.44,4971
10:49,200.44,200.44,200.31,200.35,18835
10:50,200.35,200.35,200.25,200.33,20892
10:51,200.27,200.52,200.27,200.5,19615
10:52,200.5,200.54,200.34,200.48,14736
10:53,200.48,200.49,200.4,200.45,5019
10:54,200.4,200.46,200.32,200.46,14980
10:55,200.44,200.44,200.31,200.33,7670
10:56,200.32,200.34,200.26,200.31,18176
10:57,200.29,200.43,200.25,200.36,36173
10:58,200.39,200.4,200.26,200.36,11516
10:59,200.37,200.39,200.3,200.31,10675
11:00,200.35,200.42,200.3,200.4,10266
11:01,200.39,200.41,200.27,200.37,28827
11:02,200.31,200.4,200.31,200.35,20234
11:03,200.39,200.41,200.25,200.39,42184
11:04,200.4,200.48,200.4,200.48,16967
11:05,200.46,200.63,200.45,200.56,27436
11:06,200.56,200.65,200.5,200.58,14287
11:07,200.58,200.58,200.5,200.52,10851
11:08,200.5,200.52,200.38,200.46,23656
11:09,200.49,200.52,200.42,200.52,9040
11:10,200.49,200.52,200.3,200.31,22438
11:11,200.31,200.4,200.3,200.35,17915
11:12,200.35,200.35,200.31,200.34,11262
11:13,200.34,200.4,200.26,200.36,22274
11:14,200.33,200.37,200.29,200.34,14225
11:15,200.34,200.34,200.24,200.34,84909
11:16,200.32,200.35,200.2,200.35,73836
11:17,200.3,200.37,200.28,200.37,7876
11:18,200.37,200.37,200.25,200.29,23837
11:19,200.28,200.29,200.2,200.22,27821
11:20,200.2,200.27,200.12,200.15,43380
11:21,200.12,200.2,200.1,200.16,15524
11:22,200.15,200.22,200.0,200.08,166097
11:23,200.08,200.18,200.0,200.16,27334
11:24,200.14,200.21,200.05,200.2,67997
11:25,200.2,200.21,200.02,200.05,151063
11:26,200.05,200.19,200.03,200.11,12188
11:27,200.16,200.16,200.06,200.11,28402
11:28,200.11,200.23,200.02,200.2,64887
11:29,200.2,200.25,200.15,200.21,21444
11:30,200.21,200.31,200.2,200.29,26597
11:31,200.28,200.29,200.16,200.21,101779
11:32,200.18,200.25,200.15,200.15,35332
11:33,200.18,200.3,200.13,200.24,30206
11:34,200.29,200.35,200.21,200.3,28057
11:35,200.25,200.4,200.25,200.38,32296
11:36,200.38,200.49,200.35,200.44,22826
11:37,200.43,200.48,200.31,200.46,40870
11:38,200.47,200.48,200.28,200.38,136159
11:39,200.4,200.4,200.25,200.35,117006
11:40,200.35,200.38,200.26,200.33,17250
11:41,200.33,200.38,200.2,200.38,32014
11:42,200.38,200.58,200.38,200.58,23487
11:43,200.59,200.59,200.33,200.4,38277
11:44,200.32,200.42,200.32,200.36,12279
11:45,200.4,200.4,200.25,200.35,25955
11:46,200.35,200.48,200.32,200.45,13617
11:47,200.42,200.45,200.34,200.4,16832
11:48,200.4,200.45,200.34,200.45,10556
11:49,200.37,200.6,200.37,200.59,13762
11:50,200.5,200.73,200.5,200.68,15608
11:51,200.68,200.8,200.6,200.79,24081
11:52,200.78,200.83,200.71,200.75,24678
11:53,200.79,201.0,200.69,200.93,70233
11:54,200.92,200.98,200.83,200.98,12206
11:55,200.98,200.98,200.77,200.97,29103
11:56,200.97,201.11,200.97,200.97,20745
11:57,200.97,201.26,200.94,201.12,57281
11:58,201.07,201.21,201.06,201.16,13851
11:59,201.2,201.23,201.16,201.16,16379
12:00,201.2,201.23,201.16,201.22,21674
12:01,201.18,201.25,201.12,201.19,20227
12:02,201.19,201.2,201.11,201.17,16033
12:03,201.15,201.28,201.11,201.2,37773
12:04,201.18,201.36,201.18,201.25,29691
12:05,201.25,201.39,201.25,201.39,16262
12:06,201.39,201.39,201.22,201.36,49494
12:07,201.36,201.38,201.28,201.28,13505
12:08,201.25,201.28,201.1,201.11,26272
12:09,201.09,201.26,201.08,201.26,77095
12:10,201.28,201.3,201.12,201.17,190546
12:11,201.24,201.26,201.1,201.2,109463
12:12,201.2,201.22,201.1,201.22,15214
12:13,201.15,201.3,201.15,201.3,13554
12:14,201.3,201.4,201.25,201.4,19086
12:15,201.4,201.4,201.2,201.31,16421
12:16,201.31,201.35,201.2,201.32,23350
12:17,201.3,201.3,201.2,201.21,14752
