datetime,time,open,high,low,close,volume
2026-04-21 09:15:00,09:15:00,556.2,569.95,530.0,565.55,9450
2026-04-21 09:16:00,09:16:00,565.6,588.9,556.6,556.6,18000
2026-04-21 09:17:00,09:17:00,512.95,538.0,511.95,534.95,5370
2026-04-21 09:18:00,09:18:00,534.5,543.45,525.6,530.4,3780
2026-04-21 09:19:00,09:19:00,530.8,548.7,520.0,548.7,8280
2026-04-21 09:20:00,09:20:00,544.0,564.6,544.0,554.2,5760
2026-04-21 09:21:00,09:21:00,558.0,568.0,554.2,561.6,4140
2026-04-21 09:22:00,09:22:00,565.4,569.4,557.7,563.85,2640
2026-04-21 09:23:00,09:23:00,520.0,532.85,517.8,530.2,3630
2026-04-21 09:24:00,09:24:00,580.2,588.8,560.5,562.15,6120
2026-04-21 09:25:00,09:25:00,559.8,562.95,545.85,562.15,3120
2026-04-21 09:26:00,09:26:00,561.1,567.45,558.9,561.2,4680
2026-04-21 09:27:00,09:27:00,562.7,567.8,560.3,561.05,1500
2026-04-21 09:28:00,09:28:00,560.45,563.45,557.65,559.0,1320
2026-04-21 09:29:00,09:29:00,555.0,559.0,545.8,545.8,3210
2026-04-21 09:30:00,09:30:00,552.75,557.6,545.8,552.0,960
2026-04-21 09:31:00,09:31:00,550.65,557.0,543.5,556.35,2160
2026-04-21 09:32:00,09:32:00,560.0,574.75,556.35,572.0,3660
2026-04-21 09:33:00,09:33:00,522.9,537.3,521.6,535.35,5730
2026-04-21 09:34:00,09:34:00,536.0,545.15,533.8,538.7,6600
2026-04-21 09:35:00,09:35:00,541.0,553.0,535.2,538.6,6030
2026-04-21 09:36:00,09:36:00,589.85,592.35,574.05,578.15,3480
2026-04-21 09:37:00,09:37:00,532.55,543.45,532.4,536.05,6030
2026-04-21 09:38:00,09:38:00,537.15,547.15,536.05,547.15,2730
2026-04-21 09:39:00,09:39:00,545.6,554.5,538.15,540.5,5010
2026-04-21 09:40:00,09:40:00,589.7,592.9,576.35,576.7,1710
2026-04-21 09:41:00,09:41:00,573.5,587.05,573.5,583.2,1080
2026-04-21 09:42:00,09:42:00,537.0,540.35,532.0,532.0,1110
2026-04-21 09:43:00,09:43:00,575.25,584.35,558.7,578.55,1740
2026-04-21 09:44:00,09:44:00,533.1,545.8,532.5,543.35,2580
2026-04-21 09:45:00,09:45:00,546.0,565.0,543.35,564.1,9540
2026-04-21 09:46:00,09:46:00,563.45,573.25,562.4,570.95,6810
2026-04-21 09:47:00,09:47:00,571.1,571.1,564.05,566.4,1980
2026-04-21 09:48:00,09:48:00,520.0,537.75,520.0,536.85,25440
2026-04-21 09:49:00,09:49:00,540.0,547.05,536.7,547.05,24120
2026-04-21 09:50:00,09:50:00,546.2,567.65,546.2,566.45,33270
2026-04-21 09:51:00,09:51:00,566.85,569.5,542.15,545.85,29850
2026-04-21 09:52:00,09:52:00,545.75,556.55,531.45,532.3,20250
2026-04-21 09:53:00,09:53:00,533.25,540.0,530.0,533.65,8100
2026-04-21 09:54:00,09:54:00,532.5,549.9,529.25,544.6,7230
2026-04-21 09:55:00,09:55:00,546.0,549.5,540.85,549.5,7800
2026-04-21 09:56:00,09:56:00,549.6,550.0,534.8,541.95,5670
2026-04-21 09:57:00,09:57:00,540.55,551.05,540.55,551.0,5730
2026-04-21 09:58:00,09:58:00,550.1,551.0,539.5,539.5,10020
2026-04-21 09:59:00,09:59:00,541.05,548.0,539.5,548.0,3030
2026-04-21 10:00:00,10:00:00,549.3,557.25,543.15,555.0,12210
2026-04-21 10:01:00,10:01:00,554.7,556.7,548.0,548.4,7080
2026-04-21 10:02:00,10:02:00,546.7,549.3,542.0,542.0,3300
2026-04-21 10:03:00,10:03:00,538.85,547.15,535.05,542.3,5130
2026-04-21 10:04:00,10:04:00,544.25,549.9,542.25,543.7,18840
2026-04-21 10:05:00,10:05:00,544.35,552.75,543.1,544.1,12780
2026-04-21 10:06:00,10:06:00,548.3,548.3,535.7,547.0,5400
