datetime,time,open,high,low,close,volume
2026-04-09 09:15:00,09:15:00,121.95,121.95,76.8,77.4,555360
2026-04-09 09:16:00,09:16:00,80.0,92.65,77.4,91.45,635050
2026-04-09 09:17:00,09:17:00,93.3,105.55,91.35,99.15,380705
2026-04-09 09:18:00,09:18:00,99.1,101.4,95.25,98.55,230685
2026-04-09 09:19:00,09:19:00,98.15,103.1,96.8,103.1,190775
2026-04-09 09:20:00,09:20:00,101.4,108.9,98.95,105.85,370565
2026-04-09 09:21:00,09:21:00,105.8,111.65,102.8,109.95,223080
2026-04-09 09:22:00,09:22:00,111.4,117.15,109.95,111.9,288340
2026-04-09 09:23:00,09:23:00,112.3,113.15,108.7,109.1,183430
2026-04-09 09:24:00,09:24:00,109.4,120.1,109.1,117.05,251745
2026-04-09 09:25:00,09:25:00,115.8,121.2,115.05,119.55,246480
2026-04-09 09:26:00,09:26:00,120.4,123.65,117.7,122.9,169910
2026-04-09 09:27:00,09:27:00,121.6,127.45,121.2,126.95,240370
2026-04-09 09:28:00,09:28:00,127.6,128.65,122.3,123.95,182715
2026-04-09 09:29:00,09:29:00,124.25,126.7,119.9,126.7,146900
2026-04-09 09:30:00,09:30:00,126.8,129.05,116.35,116.8,321425
2026-04-09 09:31:00,09:31:00,115.85,117.95,109.25,110.8,230230
2026-04-09 09:32:00,09:32:00,110.5,116.0,106.8,107.7,185770
2026-04-09 09:33:00,09:33:00,106.8,107.7,102.4,102.4,334685
2026-04-09 09:34:00,09:34:00,102.4,105.25,99.0,100.3,198250
2026-04-09 09:35:00,09:35:00,100.2,105.6,99.15,104.35,288080
2026-04-09 09:36:00,09:36:00,105.4,107.5,103.3,106.55,155415
2026-04-09 09:37:00,09:37:00,105.45,106.65,100.8,102.55,148720
2026-04-09 09:38:00,09:38:00,102.45,103.45,98.35,99.45,164125
2026-04-09 09:39:00,09:39:00,99.15,100.0,95.75,98.65,140140
2026-04-09 09:40:00,09:40:00,98.6,101.9,98.15,100.25,220870
