Date,Time,Name,Buy/Sell,Order,Exchange,Segment,Quantity/Lot,Trade Price,Trade Value,Status
2026-02-24,11:57:02,NIFTY 24 FEB 25500 CALL,SELL,INTRADAY,NSE,Derivative,65,37.80,2457.00,Traded
2026-02-24,11:12:02,NIFTY 24 FEB 25500 CALL,BUY,INTRADAY,NSE,Derivative,65,59.65,3877.25,Traded
2026-02-24,10:48:03,NIFTY 24 FEB 25500 CALL,SELL,INTRADAY,NSE,Derivative,65,46.65,3032.25,Traded
2026-02-24,10:33:03,NIFTY 24 FEB 25500 CALL,BUY,INTRADAY,NSE,Derivative,65,57.80,3757.00,Traded
2026-02-23,10:15:22,NIFTY 24 FEB 25750 PUT,SELL,INTRADAY,NSE,Derivative,65,106.90,6948.50,Traded
2026-02-23,10:15:03,NIFTY 24 FEB 25750 PUT,BUY,INTRADAY,NSE,Derivative,65,110.90,7208.50,Traded
2026-02-19,10:31:33,NIFTY 24 FEB 25750 PUT,SELL,INTRADAY,NSE,Derivative,65,122.30,7949.50,Traded
2026-02-19,10:15:04,NIFTY 24 FEB 25750 PUT,BUY,INTRADAY,NSE,Derivative,65,117.20,7618.00,Traded
2026-02-18,09:45:35,NIFTY 24 FEB 25700 CALL,SELL,INTRADAY,NSE,Derivative,65,161.05,10468.25,Traded
2026-02-18,09:30:10,NIFTY 24 FEB 25700 CALL,BUY,INTRADAY,NSE,Derivative,65,159.85,10390.25,Traded
2026-02-13,10:47:42,NIFTY 17 FEB 25550 CALL,SELL,INTRADAY,NSE,Derivative,65,122.10,7936.50,Traded
2026-02-13,10:36:59,NIFTY 17 FEB 25550 CALL,BUY,INTRADAY,NSE,Derivative,65,126.00,8190.00,Traded
2026-02-13,09:55:46,NIFTY 17 FEB 25550 CALL,SELL,INTRADAY,NSE,Derivative,65,121.55,7900.75,Traded
2026-02-13,09:53:45,NIFTY 17 FEB 25550 CALL,BUY,INTRADAY,NSE,Derivative,65,129.25,8401.25,Traded
2026-02-12,14:28:21,NIFTY 17 FEB 25800 CALL,SELL,INTRADAY,NSE,Derivative,130,132.75,17257.50,Traded
2026-02-12,14:24:03,NIFTY 17 FEB 25800 CALL,BUY,INTRADAY,NSE,Derivative,130,139.85,18180.50,Traded
2026-02-12,13:09:14,NIFTY 17 FEB 25900 PUT,SELL,INTRADAY,NSE,Derivative,130,125.50,16315.00,Traded
2026-02-12,13:09:04,NIFTY 17 FEB 25900 PUT,BUY,INTRADAY,NSE,Derivative,130,125.25,16282.50,Traded
