datetime,time,open,high,low,close,volume
2026-03-30 09:15:00,09:15:00,15.95,22.45,7.1,16.0,5213130
2026-03-30 09:20:00,09:20:00,8.3,8.65,7.95,8.2,1214655
2026-03-30 09:25:00,09:25:00,7.2,7.25,6.6,6.6,734760
2026-03-30 09:50:00,09:50:00,7.0,7.8,6.8,7.15,1258465
2026-03-30 09:55:00,09:55:00,6.55,6.95,6.4,6.7,929045
2026-03-30 10:05:00,10:05:00,6.2,6.4,5.95,6.35,456235
2026-03-30 10:10:00,10:10:00,5.45,6.25,5.4,5.75,823745
2026-03-30 10:15:00,10:15:00,6.3,6.5,5.85,6.45,752050
2026-03-30 10:20:00,10:20:00,5.4,5.6,5.2,5.25,330850
2026-03-30 10:25:00,10:25:00,5.25,5.25,4.6,4.6,409955
2026-03-30 10:30:00,10:30:00,5.3,5.35,4.9,5.0,298350
2026-03-30 10:35:00,10:35:00,4.0,4.2,3.9,3.95,697450
2026-03-30 10:40:00,10:40:00,5.1,5.15,4.6,4.85,739180
2026-03-30 10:45:00,10:45:00,3.55,3.7,3.4,3.55,229450
2026-03-30 10:50:00,10:50:00,5.15,5.15,4.65,4.7,530920
2026-03-30 10:55:00,10:55:00,4.45,5.05,4.4,4.9,1311310
2026-03-30 11:00:00,11:00:00,4.55,4.65,4.15,4.35,477620
2026-03-30 11:05:00,11:05:00,5.6,5.8,5.5,5.75,234585
2026-03-30 11:10:00,11:10:00,4.2,5.15,4.05,4.2,1249170
2026-03-30 11:15:00,11:15:00,3.65,4.0,3.65,4.0,335855
2026-03-30 11:20:00,11:20:00,3.5,3.7,3.45,3.7,209755
2026-03-30 11:25:00,11:25:00,6.05,6.2,5.95,6.05,371345
2026-03-30 11:30:00,11:30:00,3.75,3.85,3.6,3.65,317070
2026-03-30 11:35:00,11:35:00,3.8,3.8,3.45,3.55,898235
2026-03-30 11:40:00,11:40:00,3.05,3.3,3.0,3.1,617175
2026-03-30 11:45:00,11:45:00,3.3,3.65,3.3,3.6,542750
2026-03-30 11:50:00,11:50:00,3.3,3.35,3.15,3.25,351195
2026-03-30 11:55:00,11:55:00,3.5,3.5,3.05,3.1,602940
2026-03-30 12:00:00,12:00:00,2.35,2.4,2.2,2.25,361985
2026-03-30 12:05:00,12:05:00,2.45,2.65,2.15,2.2,2384200
2026-03-30 12:10:00,12:10:00,2.05,2.15,2.0,2.05,546130
2026-03-30 12:15:00,12:15:00,2.0,2.1,1.9,2.1,775060
2026-03-30 12:20:00,12:20:00,2.05,2.05,1.9,2.0,615875
2026-03-30 12:25:00,12:25:00,2.9,3.0,2.6,2.65,816725
2026-03-30 12:30:00,12:30:00,2.0,2.1,1.95,2.1,511160
2026-03-30 12:35:00,12:35:00,1.75,1.8,1.6,1.6,579735
2026-03-30 12:40:00,12:40:00,1.7,1.75,1.7,1.75,280345
2026-03-30 12:45:00,12:45:00,1.75,1.75,1.6,1.65,239655
2026-03-30 12:50:00,12:50:00,2.15,2.35,2.15,2.25,409630
2026-03-30 12:55:00,12:55:00,1.8,1.9,1.7,1.75,1053585
