datetime,time,open,high,low,close,volume
2026-03-19 09:15:00,09:15:00,82.5,118.75,82.5,105.0,1182285
2026-03-19 09:20:00,09:20:00,123.25,126.15,118.0,118.6,454740
2026-03-19 09:25:00,09:25:00,100.55,101.55,98.25,99.45,423930
2026-03-19 09:30:00,09:30:00,114.2,114.35,109.5,113.95,195130
2026-03-19 09:35:00,09:35:00,97.95,100.65,96.65,98.4,184340
2026-03-19 09:40:00,09:40:00,103.8,105.95,102.85,105.75,71695
2026-03-19 09:45:00,09:45:00,105.6,106.05,103.7,106.05,47775
2026-03-19 09:50:00,09:50:00,102.6,103.8,101.8,102.7,35945
2026-03-19 09:55:00,09:55:00,99.5,102.4,98.8,102.4,73190
2026-03-19 10:00:00,10:00:00,101.6,102.25,100.05,101.55,55055
2026-03-19 10:05:00,10:05:00,102.95,104.45,102.6,104.35,48555
2026-03-19 10:10:00,10:10:00,104.9,105.25,101.75,103.2,54535
2026-03-19 10:15:00,10:15:00,85.5,85.9,83.5,84.7,280345
2026-03-19 10:20:00,10:20:00,97.65,99.15,97.15,98.55,19435
2026-03-19 10:25:00,10:25:00,101.25,103.75,101.05,103.75,92950
2026-03-19 10:30:00,10:30:00,91.1,92.1,90.45,91.4,121485
2026-03-19 10:35:00,10:35:00,104.9,106.45,104.45,105.05,31265
2026-03-19 10:40:00,10:40:00,114.7,115.7,112.9,114.2,76505
2026-03-19 10:45:00,10:45:00,116.0,116.5,113.75,115.95,71565
2026-03-19 10:50:00,10:50:00,109.8,113.3,108.5,113.0,43550
2026-03-19 10:55:00,10:55:00,94.3,94.3,91.05,91.45,91715
2026-03-19 11:00:00,11:00:00,103.4,104.1,100.2,100.85,122850
2026-03-19 11:05:00,11:05:00,100.4,100.4,98.15,99.35,78650
2026-03-19 11:10:00,11:10:00,85.2,86.7,84.95,86.3,40885
2026-03-19 11:15:00,11:15:00,96.3,96.35,93.65,93.8,79690
2026-03-19 11:20:00,11:20:00,111.25,112.5,110.85,111.4,70655
2026-03-19 11:25:00,11:25:00,98.9,99.3,98.2,99.25,20540
2026-03-19 11:30:00,11:30:00,96.6,98.4,96.1,98.0,34645
2026-03-19 11:35:00,11:35:00,98.7,99.5,98.6,99.15,16120
2026-03-19 11:40:00,11:40:00,97.6,98.0,96.6,97.7,35815
2026-03-19 11:45:00,11:45:00,98.75,99.5,98.1,98.75,10790
2026-03-19 11:50:00,11:50:00,99.5,99.65,97.85,99.15,23595
2026-03-19 11:55:00,11:55:00,98.2,98.45,96.65,97.8,34450
2026-03-19 12:00:00,12:00:00,96.25,96.25,94.45,95.3,41340
2026-03-19 12:05:00,12:05:00,95.7,95.9,94.8,95.6,14040
2026-03-19 12:10:00,12:10:00,94.95,96.05,94.5,94.7,37700
2026-03-19 12:15:00,12:15:00,117.15,118.3,115.85,118.3,158405
2026-03-19 12:20:00,12:20:00,104.6,104.75,100.0,100.5,72670
2026-03-19 12:25:00,12:25:00,98.5,100.5,97.7,100.2,31395
2026-03-19 12:30:00,12:30:00,99.8,101.9,99.45,99.75,51610
2026-03-19 12:35:00,12:35:00,97.4,97.7,96.1,97.65,26585
2026-03-19 12:40:00,12:40:00,97.95,98.35,95.95,96.35,35295
2026-03-19 12:45:00,12:45:00,96.15,97.55,96.0,97.1,25090
2026-03-19 12:50:00,12:50:00,103.5,105.4,101.7,101.9,92105
2026-03-19 12:55:00,12:55:00,104.55,105.2,101.9,102.9,52650
2026-03-19 13:00:00,13:00:00,101.35,101.5,99.65,99.85,22490
2026-03-19 13:05:00,13:05:00,94.65,95.25,93.05,94.95,59085
2026-03-19 13:10:00,13:10:00,95.35,98.15,91.5,91.5,144560
2026-03-19 13:15:00,13:15:00,88.8,89.3,87.2,88.25,53430
2026-03-19 13:20:00,13:20:00,88.9,89.3,88.15,88.4,29120
2026-03-19 13:25:00,13:25:00,86.35,87.6,85.95,86.2,40430
2026-03-19 13:30:00,13:30:00,83.15,86.0,82.8,84.45,107770
2026-03-19 13:35:00,13:35:00,82.5,83.55,82.35,83.0,22750
2026-03-19 13:40:00,13:40:00,84.85,86.15,83.65,84.15,55575
2026-03-19 13:45:00,13:45:00,85.4,85.8,84.9,85.05,22685
2026-03-19 13:50:00,13:50:00,84.6,85.4,84.0,85.1,15470
2026-03-19 13:55:00,13:55:00,72.35,72.35,71.1,71.4,52715
2026-03-19 14:00:00,14:00:00,77.15,78.85,77.0,78.0,66105
2026-03-19 14:05:00,14:05:00,60.4,61.0,59.75,60.3,127400
2026-03-19 14:10:00,14:10:00,67.5,68.25,66.5,67.8,148720
2026-03-19 14:15:00,14:15:00,69.0,71.35,68.55,70.95,64025
2026-03-19 14:20:00,14:20:00,83.45,84.05,82.65,84.0,120445
2026-03-19 14:25:00,14:25:00,71.55,71.8,70.2,70.75,96720
2026-03-19 14:30:00,14:30:00,69.25,70.55,69.05,69.75,40820
2026-03-19 14:35:00,14:35:00,70.1,71.2,70.1,70.6,31980
2026-03-19 14:40:00,14:40:00,68.75,70.0,68.25,69.7,21450
2026-03-19 14:45:00,14:45:00,59.6,59.7,58.5,59.1,84305
2026-03-19 14:50:00,14:50:00,63.85,63.95,62.2,63.15,71695
2026-03-19 15:15:00,15:15:00,70.2,71.9,69.6,71.75,382525
2026-03-19 15:20:00,15:20:00,79.2,86.2,78.3,85.75,391105
2026-03-19 15:25:00,15:25:00,85.3,86.1,83.85,85.35,71630
2026-03-20 09:15:00,09:15:00,122.7,132.55,105.8,128.0,587600
2026-03-20 09:20:00,09:20:00,108.7,116.65,108.7,114.8,1152385
2026-03-20 09:25:00,09:25:00,133.85,136.4,132.0,133.35,665470
2026-03-20 09:30:00,09:30:00,125.2,125.55,120.85,121.0,169325
2026-03-20 09:35:00,09:35:00,118.7,120.5,111.45,112.75,667355
2026-03-20 09:40:00,09:40:00,124.25,124.5,116.8,117.1,275860
2026-03-20 09:45:00,09:45:00,111.4,115.05,111.25,114.5,116480
2026-03-20 09:50:00,09:50:00,116.7,121.15,116.4,120.3,210340
2026-03-20 09:55:00,09:55:00,115.95,119.8,115.6,119.6,78065
2026-03-20 10:00:00,10:00:00,121.15,122.4,116.8,118.1,102700
2026-03-20 10:05:00,10:05:00,114.55,119.35,114.0,119.05,88660
2026-03-20 10:10:00,10:10:00,116.8,118.4,115.0,115.0,62010
2026-03-20 10:15:00,10:15:00,100.0,101.4,98.2,99.1,152165
2026-03-20 10:20:00,10:20:00,127.5,129.95,126.75,126.75,484965
2026-03-20 10:25:00,10:25:00,114.95,116.8,113.6,114.9,126230
2026-03-20 10:30:00,10:30:00,119.1,120.3,117.4,117.85,140790
2026-03-20 10:35:00,10:35:00,138.1,141.0,137.85,139.0,384735
2026-03-20 10:40:00,10:40:00,124.3,125.5,122.75,123.85,164905
2026-03-20 10:45:00,10:45:00,124.1,125.95,123.0,124.6,83330
2026-03-20 10:50:00,10:50:00,125.75,129.75,124.7,127.7,224055
2026-03-20 10:55:00,10:55:00,131.25,131.6,129.5,129.6,96265
2026-03-20 11:00:00,11:00:00,108.75,110.1,107.75,109.55,178490
2026-03-20 11:05:00,11:05:00,135.0,138.0,133.8,137.35,335985
2026-03-20 11:10:00,11:10:00,121.35,121.95,117.5,117.85,79820
2026-03-20 11:15:00,11:15:00,120.9,125.95,120.15,125.1,159640
2026-03-20 11:20:00,11:20:00,146.35,148.7,144.5,148.7,499005
2026-03-20 11:25:00,11:25:00,139.35,140.45,135.95,136.6,146965
2026-03-20 11:30:00,11:30:00,113.5,117.6,112.35,117.25,367900
2026-03-20 11:35:00,11:35:00,130.2,133.35,127.95,132.2,136110
2026-03-20 11:40:00,11:40:00,126.15,128.5,124.55,124.6,91780
2026-03-20 11:45:00,11:45:00,117.9,121.9,116.8,119.7,136695
2026-03-20 11:50:00,11:50:00,119.95,119.95,111.35,111.35,222885
2026-03-20 11:55:00,11:55:00,109.0,109.75,107.75,108.4,90480
2026-03-20 12:00:00,12:00:00,109.1,112.0,106.65,107.1,223990
2026-03-20 12:05:00,12:05:00,89.85,92.45,89.3,91.95,209300
2026-03-20 12:10:00,12:10:00,100.95,103.85,100.4,103.7,128505
2026-03-20 12:15:00,12:15:00,105.25,105.9,102.4,104.0,94055
2026-03-20 12:20:00,12:20:00,82.4,84.5,82.15,84.35,368485
2026-03-20 12:25:00,12:25:00,90.65,92.25,89.65,90.7,144560
2026-03-20 12:30:00,12:30:00,85.45,86.9,84.65,85.6,177190
2026-03-20 12:35:00,12:35:00,93.95,97.2,92.6,96.8,241735
2026-03-20 12:40:00,12:40:00,98.35,99.7,96.55,98.8,162825
2026-03-20 12:45:00,12:45:00,103.45,105.95,101.65,105.95,177190
2026-03-20 12:50:00,12:50:00,120.15,120.95,117.35,118.3,608140
2026-03-20 12:55:00,12:55:00,92.55,94.0,90.2,93.05,314275
2026-03-20 13:00:00,13:00:00,117.65,120.65,113.2,120.3,995345
2026-03-20 13:05:00,13:05:00,109.1,110.55,107.55,109.7,149240
2026-03-20 13:10:00,13:10:00,106.85,106.9,102.8,105.05,115570
2026-03-20 13:15:00,13:15:00,107.5,109.95,106.75,109.65,80990
2026-03-20 13:20:00,13:20:00,107.85,109.35,104.85,107.9,99255
2026-03-20 13:25:00,13:25:00,109.15,111.4,107.3,110.55,109850
2026-03-20 13:30:00,13:30:00,111.0,114.4,110.85,112.2,113555
2026-03-20 13:35:00,13:35:00,108.05,110.4,107.55,110.4,90155
2026-03-20 13:40:00,13:40:00,115.0,115.05,110.65,111.6,99125
2026-03-20 13:45:00,13:45:00,104.35,105.65,101.9,101.9,162175
2026-03-20 13:50:00,13:50:00,96.95,98.75,95.4,96.8,136825
2026-03-20 13:55:00,13:55:00,85.0,88.4,85.0,87.15,398775
2026-03-20 14:00:00,14:00:00,108.6,114.2,106.45,113.3,476255
2026-03-20 14:05:00,14:05:00,106.85,108.2,104.6,106.1,287040
2026-03-20 14:10:00,14:10:00,102.55,102.8,99.6,99.6,79040
2026-03-20 14:15:00,14:15:00,96.25,96.65,92.25,94.1,234910
2026-03-20 14:20:00,14:20:00,96.3,97.55,94.7,97.0,106470
2026-03-20 14:25:00,14:25:00,91.7,92.0,88.3,90.25,85150
2026-03-20 14:30:00,14:30:00,87.0,92.85,86.55,90.4,174265
2026-03-20 14:35:00,14:35:00,90.6,91.65,87.8,87.8,82095
2026-03-20 14:40:00,14:40:00,74.8,74.8,72.8,72.85,179010
2026-03-20 14:45:00,14:45:00,74.15,75.3,73.65,74.7,249405
2026-03-20 14:50:00,14:50:00,86.2,86.6,77.8,78.4,1009320
2026-03-20 14:55:00,14:55:00,71.05,73.45,71.05,72.3,105495
2026-03-20 15:00:00,15:00:00,80.75,80.75,73.7,76.65,1144065
2026-03-20 15:05:00,15:05:00,70.3,74.25,66.9,73.15,897910
2026-03-20 15:10:00,15:10:00,78.7,80.95,73.6,73.65,370760
2026-03-20 15:15:00,15:15:00,80.05,80.05,75.1,77.0,228800
2026-03-20 15:20:00,15:20:00,77.95,78.9,76.75,78.0,129480
2026-03-20 15:25:00,15:25:00,92.25,92.4,86.85,90.5,721955
2026-03-24 13:30:00,13:30:00,0.95,1.1,0.75,1.0,814060
2026-03-24 13:35:00,13:35:00,0.95,1.0,0.9,1.0,727870
2026-03-24 13:40:00,13:40:00,0.75,0.8,0.65,0.7,468975
2026-03-25 09:15:00,09:15:00,110.0,115.15,103.35,113.8,167635
2026-03-25 09:20:00,09:20:00,127.4,133.55,126.65,131.4,101465
2026-03-25 09:25:00,09:25:00,137.75,142.2,137.75,139.25,94380
2026-03-25 09:30:00,09:30:00,166.1,167.15,162.0,167.15,333190
2026-03-25 09:35:00,09:35:00,137.35,137.35,133.6,134.6,165295
2026-03-25 09:40:00,09:40:00,163.5,164.7,159.6,160.4,505830
2026-03-25 09:45:00,09:45:00,165.2,167.3,163.85,165.2,121355
2026-03-25 09:50:00,09:50:00,181.35,184.6,181.05,181.3,238225
2026-03-25 09:55:00,09:55:00,171.0,175.0,168.95,171.05,127140
2026-03-25 10:00:00,10:00:00,169.05,175.25,169.05,171.0,99905
2026-03-25 10:05:00,10:05:00,166.4,170.1,166.1,166.75,58500
2026-03-25 10:10:00,10:10:00,169.3,173.1,167.5,167.7,119405
2026-03-25 10:15:00,10:15:00,173.5,173.5,165.25,165.25,66170
2026-03-25 10:20:00,10:20:00,166.55,169.85,165.4,169.75,37375
2026-03-25 10:25:00,10:25:00,169.0,171.95,167.5,171.95,31460
2026-03-25 10:30:00,10:30:00,179.9,181.0,175.1,176.35,59475
2026-03-25 10:35:00,10:35:00,176.55,176.55,173.4,174.75,28600
2026-03-25 10:40:00,10:40:00,199.65,202.0,198.8,201.6,123240
2026-03-25 10:45:00,10:45:00,205.75,208.65,202.25,208.65,104715
2026-03-25 10:50:00,10:50:00,224.25,227.6,220.3,221.15,221910
2026-03-25 10:55:00,10:55:00,207.3,208.45,200.0,203.4,81380
2026-03-25 11:00:00,11:00:00,204.0,207.7,203.4,205.75,59995
2026-03-25 11:05:00,11:05:00,210.5,217.4,209.8,216.15,95550
2026-03-25 11:10:00,11:10:00,258.2,264.0,257.7,262.95,405925
2026-03-25 11:15:00,11:15:00,213.95,213.95,208.0,209.6,144300
2026-03-25 11:20:00,11:20:00,227.0,228.95,220.8,221.35,50700
2026-03-25 11:25:00,11:25:00,212.6,214.7,205.7,206.9,75660
2026-03-25 11:30:00,11:30:00,214.35,216.85,212.65,214.6,30290
2026-03-25 11:35:00,11:35:00,192.0,192.4,186.0,186.25,61685
2026-03-25 11:40:00,11:40:00,197.2,200.5,195.4,199.7,59215
2026-03-25 11:45:00,11:45:00,221.55,226.4,218.85,226.4,147095
2026-03-25 11:50:00,11:50:00,210.35,216.7,210.1,216.0,85280
2026-03-25 11:55:00,11:55:00,219.45,222.65,216.5,217.05,76375
2026-03-25 12:00:00,12:00:00,215.9,216.2,210.7,214.85,33930
2026-03-25 12:05:00,12:05:00,217.85,218.7,213.0,216.9,36010
2026-03-25 12:10:00,12:10:00,243.15,249.1,241.25,245.0,221845
2026-03-25 12:15:00,12:15:00,232.95,234.2,229.5,232.8,181025
2026-03-25 12:20:00,12:20:00,231.25,233.75,229.2,233.0,60970
2026-03-25 12:25:00,12:25:00,249.5,251.45,242.9,242.9,311090
2026-03-25 12:30:00,12:30:00,220.75,221.9,212.8,219.6,62270
2026-03-25 12:35:00,12:35:00,227.0,229.0,226.0,228.6,43940
2026-03-25 12:40:00,12:40:00,218.5,219.6,215.7,219.3,42380
2026-03-25 12:45:00,12:45:00,202.8,205.4,202.2,204.05,71695
2026-03-25 12:50:00,12:50:00,209.25,212.0,206.6,206.6,54145
2026-03-25 12:55:00,12:55:00,198.25,202.95,195.25,202.95,61295
2026-03-25 13:00:00,13:00:00,188.8,196.7,185.0,196.7,85085
2026-03-25 13:05:00,13:05:00,202.15,202.65,198.25,200.55,33540
2026-03-25 13:10:00,13:10:00,200.1,204.4,198.5,201.65,48230
2026-03-25 13:15:00,13:15:00,196.45,202.4,195.35,198.75,42640
2026-03-25 13:20:00,13:20:00,216.5,217.6,211.3,213.9,204360
2026-03-25 13:25:00,13:25:00,199.2,201.75,197.15,200.55,39975
2026-03-25 13:30:00,13:30:00,208.95,210.6,205.9,208.0,42835
2026-03-25 13:35:00,13:35:00,213.25,215.7,211.2,213.1,54730
2026-03-25 13:40:00,13:40:00,214.4,214.65,208.0,213.1,49595
2026-03-25 13:45:00,13:45:00,214.9,221.05,212.7,221.0,84955
2026-03-25 13:50:00,13:50:00,220.0,223.85,218.2,222.65,69355
2026-03-25 13:55:00,13:55:00,236.4,238.0,231.15,233.4,229905
2026-03-25 14:00:00,14:00:00,211.65,216.0,211.65,212.15,49725
2026-03-25 14:05:00,14:05:00,196.1,197.3,193.6,193.8,62725
2026-03-25 14:10:00,14:10:00,203.55,208.65,202.7,206.2,44785
2026-03-25 14:15:00,14:15:00,196.35,201.75,192.6,199.35,70070
2026-03-25 14:20:00,14:20:00,149.45,151.35,148.0,150.95,30095
2026-03-25 14:25:00,14:25:00,168.6,172.6,164.7,172.1,95225
2026-03-25 14:30:00,14:30:00,193.85,193.85,178.3,184.4,573300
2026-03-25 14:35:00,14:35:00,174.05,178.7,172.8,177.5,59215
2026-03-25 14:40:00,14:40:00,173.35,179.95,173.0,178.1,101985
2026-03-25 14:45:00,14:45:00,182.25,186.2,181.5,186.2,119665
2026-03-25 14:50:00,14:50:00,180.05,181.75,176.15,176.2,39130
2026-03-25 14:55:00,14:55:00,188.5,190.8,188.0,188.7,156520
2026-03-25 15:00:00,15:00:00,187.05,190.9,176.05,181.9,489970
2026-03-25 15:05:00,15:05:00,163.75,164.45,158.7,163.95,54730
2026-03-25 15:10:00,15:10:00,165.55,166.7,163.2,164.0,42770
2026-03-25 15:15:00,15:15:00,141.0,143.0,137.75,142.45,145600
2026-03-25 15:20:00,15:20:00,146.3,151.0,145.65,150.4,104325
2026-03-25 15:25:00,15:25:00,153.65,154.3,151.9,152.15,55575
