datetime,open,high,low,close,volume
2026-02-19 09:15:00,285.0,307.0,285.0,291.95,227695
2026-02-19 09:20:00,294.6,308.25,293.75,308.0,47450
2026-02-19 09:25:00,253.75,254.5,245.15,246.8,51415
2026-02-19 09:30:00,269.0,272.6,263.95,265.55,77740
2026-02-19 09:35:00,262.0,269.65,260.8,265.4,66690
2026-02-19 09:40:00,250.3,254.45,248.45,250.6,40690
2026-02-19 09:45:00,246.5,249.25,245.0,249.25,56940
2026-02-19 09:50:00,263.55,265.4,257.95,258.2,71760
2026-02-19 09:55:00,209.05,212.4,207.75,210.5,38285
2026-02-19 10:00:00,282.7,287.95,279.7,282.25,13845
2026-02-19 10:05:00,250.85,253.8,249.0,253.25,60060
2026-02-19 10:10:00,206.9,210.75,205.75,207.65,18135
2026-02-19 10:15:00,229.8,229.8,224.05,225.3,118950
2026-02-19 10:20:00,229.5,230.8,226.65,226.65,46540
2026-02-19 10:25:00,230.4,231.95,227.0,228.3,55315
2026-02-19 10:30:00,225.9,227.05,221.05,221.45,87945
2026-02-19 10:40:00,244.15,246.35,239.15,245.0,35295
2026-02-19 10:50:00,248.05,249.15,246.4,249.15,5265
2026-02-19 10:55:00,219.3,219.4,214.2,214.8,62140
2026-02-19 11:00:00,219.5,221.0,217.15,220.95,80795
2026-02-19 11:05:00,218.4,220.35,216.15,216.85,41080
2026-02-19 13:55:00,113.0,113.7,111.5,111.5,93730
2026-02-19 14:00:00,127.75,129.4,126.9,129.0,546390
2026-02-19 14:05:00,119.7,120.4,117.55,119.4,679900
2026-02-19 14:10:00,126.6,129.95,125.3,125.3,839865
2026-02-19 14:25:00,132.1,132.5,129.6,129.6,461630
2026-02-19 14:30:00,117.6,125.15,116.9,125.15,705510
2026-02-19 14:35:00,124.8,128.45,124.8,127.25,436020
2026-02-19 14:40:00,102.9,104.5,101.55,101.55,127530
2026-02-19 14:45:00,108.0,108.6,104.65,107.45,1097525
2026-02-19 14:50:00,104.4,105.2,102.55,102.7,698165
2026-02-19 14:55:00,101.4,102.05,97.95,99.6,662285
2026-02-19 15:00:00,96.85,97.8,91.4,92.6,990600
2026-02-19 15:05:00,90.0,91.5,88.05,88.45,569400
2026-02-19 15:10:00,69.55,71.95,68.6,71.35,322335
