datetime,open,high,low,close,volume
2026-04-21 09:15:00,297.35,329.25,263.2,325.0,180115
2026-04-21 09:16:00,323.55,347.1,323.55,336.1,140205
2026-04-21 09:17:00,333.65,342.35,330.0,336.25,46215
2026-04-21 09:18:00,338.05,353.5,336.25,349.8,43680
2026-04-21 09:19:00,352.4,362.55,347.1,361.9,36725
2026-04-21 09:20:00,363.0,376.1,361.9,366.15,50180
2026-04-21 09:21:00,366.25,371.0,355.25,355.25,31850
2026-04-21 09:22:00,355.35,368.6,348.15,364.0,46800
2026-04-21 09:23:00,368.2,374.95,364.0,374.95,27690
2026-04-21 09:24:00,375.85,380.55,359.55,359.55,28730
2026-04-21 09:25:00,358.0,365.9,344.6,365.5,76375
2026-04-21 09:26:00,367.9,373.2,362.2,363.35,24115
2026-04-21 09:27:00,365.9,369.1,357.3,358.9,12480
2026-04-21 09:28:00,359.45,362.6,354.35,357.2,39455
2026-04-21 09:29:00,358.25,358.25,347.4,347.4,13390
2026-04-21 09:30:00,350.75,354.0,343.0,343.5,20475
2026-04-21 09:31:00,346.0,357.3,340.0,356.35,22035
2026-04-21 09:32:00,359.1,367.25,354.2,362.55,23465
2026-04-21 09:33:00,364.15,367.8,359.25,361.95,9295
2026-04-21 09:34:00,360.0,365.0,350.35,362.45,16185
2026-04-21 09:35:00,363.95,377.95,362.45,373.9,38545
2026-04-21 09:36:00,373.7,379.35,360.75,364.9,21320
2026-04-21 09:37:00,365.1,372.25,363.7,367.0,7280
2026-04-21 09:38:00,372.0,382.3,367.0,376.9,22750
2026-04-21 09:39:00,374.4,376.9,368.0,368.0,7995
2026-04-21 09:40:00,370.25,370.25,353.1,354.2,24245
2026-04-21 09:41:00,352.75,366.6,352.6,366.1,19175
2026-04-21 09:42:00,370.0,371.45,362.0,362.0,12935
2026-04-21 09:43:00,360.1,362.0,349.45,359.45,26715
2026-04-21 09:44:00,362.4,372.1,359.45,370.6,14755
2026-04-21 09:45:00,369.85,409.35,369.85,407.25,58565
2026-04-21 09:46:00,408.3,418.15,402.25,412.65,52650
2026-04-21 09:47:00,413.7,415.35,398.45,401.8,22100
2026-04-21 09:48:00,402.8,412.6,401.8,406.7,41535
2026-04-21 09:49:00,408.95,409.9,405.0,407.35,7345
2026-04-21 09:50:00,405.3,417.35,405.3,417.35,10270
2026-04-21 09:51:00,416.1,417.65,405.6,408.25,17745
2026-04-21 09:52:00,406.25,410.1,392.55,394.15,16770
2026-04-21 09:53:00,395.0,398.25,390.75,394.7,13065
2026-04-21 09:54:00,394.05,403.9,386.5,403.5,16510
2026-04-21 09:55:00,402.0,405.0,394.95,401.7,9620
2026-04-21 09:56:00,402.55,403.1,392.95,395.0,5265
2026-04-21 09:57:00,392.55,406.8,392.55,405.0,53950
2026-04-21 09:58:00,403.95,405.0,397.8,398.0,36075
2026-04-21 09:59:00,400.95,404.15,398.0,404.05,18460
2026-04-21 10:00:00,406.0,411.0,402.55,408.3,66690
2026-04-21 10:01:00,409.9,410.0,402.75,405.6,7800
2026-04-21 10:02:00,402.85,406.6,400.55,405.0,4095
2026-04-21 10:03:00,401.25,418.05,400.9,415.25,65585
2026-04-21 10:04:00,418.05,423.3,413.0,422.2,18980
2026-04-21 10:05:00,425.0,425.0,413.3,416.2,18395
2026-04-21 10:06:00,420.0,423.95,410.75,420.6,8710
2026-04-21 10:07:00,420.2,426.75,420.05,423.35,11375
2026-04-21 10:08:00,424.45,431.55,422.0,430.95,8125
2026-04-21 10:09:00,428.35,430.95,423.2,428.0,9750
2026-04-21 10:10:00,430.0,430.0,420.4,425.0,8255
2026-04-21 10:11:00,425.55,425.85,414.55,416.0,8060
2026-04-21 10:12:00,417.9,423.4,416.0,421.2,3380
2026-04-21 10:13:00,420.0,424.9,420.0,423.8,2795
2026-04-21 10:14:00,423.5,423.8,414.65,417.05,7995
2026-04-21 10:15:00,418.8,423.0,417.05,422.75,3120
2026-04-21 10:16:00,422.55,424.0,415.75,420.55,4615
2026-04-21 10:17:00,417.75,420.55,412.8,417.4,9230
2026-04-21 10:18:00,417.8,417.8,410.5,410.5,14820
2026-04-21 10:19:00,412.65,415.35,405.5,405.55,5265
2026-04-21 10:20:00,403.65,405.75,398.85,404.6,10920
2026-04-21 10:21:00,405.4,406.3,397.4,400.0,5915
2026-04-21 10:22:00,404.0,404.0,398.0,398.0,3185
2026-04-21 10:23:00,397.75,399.45,394.5,395.25,7670
2026-04-21 10:24:00,396.5,399.05,395.25,397.25,2145
2026-04-21 10:25:00,401.0,401.0,390.35,399.3,13585
2026-04-21 10:26:00,398.9,400.0,394.55,394.6,9685
2026-04-21 10:27:00,397.6,397.6,388.6,388.6,5850
2026-04-21 10:28:00,388.45,396.05,388.3,391.95,8190
2026-04-21 10:29:00,388.4,398.0,387.15,398.0,5655
2026-04-21 10:30:00,398.0,403.4,395.25,403.0,9555
2026-04-21 10:31:00,405.0,414.5,403.0,411.4,21710
2026-04-21 10:32:00,407.85,412.15,402.0,402.2,10335
2026-04-21 10:33:00,403.25,422.75,402.2,418.75,9815
2026-04-21 10:34:00,416.25,435.4,416.25,434.0,23205
2026-04-21 10:35:00,434.05,443.0,434.0,443.0,27235
2026-04-21 10:36:00,439.9,443.0,436.1,440.35,13520
2026-04-21 10:37:00,438.8,440.35,431.05,434.1,4485
2026-04-21 10:38:00,434.0,435.85,432.0,435.25,3965
2026-04-21 10:39:00,436.7,441.2,435.25,439.95,7085
2026-04-21 10:40:00,438.0,440.25,437.35,438.9,7020
2026-04-21 10:41:00,440.0,440.45,424.0,424.45,10530
2026-04-21 10:42:00,422.75,428.95,422.75,426.8,7995
2026-04-21 10:43:00,433.3,433.3,426.8,430.6,3185
2026-04-21 10:44:00,432.05,434.0,430.6,431.45,1365
2026-04-21 10:45:00,432.95,438.6,431.45,436.65,4680
2026-04-21 10:46:00,435.0,436.65,429.1,429.35,5265
2026-04-21 10:47:00,428.3,429.75,427.0,429.75,5135
2026-04-21 10:48:00,431.2,431.2,426.15,429.1,3315
2026-04-21 10:49:00,430.15,433.5,429.1,433.5,2405
2026-04-21 10:50:00,432.3,433.5,429.05,429.2,1300
2026-04-21 10:51:00,432.9,442.0,429.2,442.0,6760
2026-04-21 10:52:00,443.95,443.95,438.0,438.85,5460
2026-04-21 10:53:00,439.2,440.0,435.3,439.35,29185
2026-04-21 10:54:00,441.55,447.5,439.2,445.95,38480
2026-04-21 10:55:00,444.9,455.05,444.9,448.5,13715
2026-04-21 10:56:00,449.2,452.25,446.75,449.05,4745
2026-04-21 10:57:00,448.65,449.2,445.3,449.2,9620
2026-04-21 10:58:00,450.15,462.65,449.2,457.05,19500
2026-04-21 10:59:00,460.2,463.85,453.95,455.35,21905
2026-04-21 11:00:00,458.1,459.0,452.3,459.0,2340
2026-04-21 11:01:00,456.5,459.0,447.6,448.0,3250
2026-04-21 11:02:00,444.0,451.0,444.0,450.35,3250
2026-04-21 11:03:00,452.0,452.0,449.95,450.5,780
2026-04-21 11:04:00,452.9,456.0,450.5,456.0,1495
2026-04-21 11:05:00,458.0,460.7,455.95,460.4,4745
2026-04-21 11:06:00,460.55,460.55,456.05,456.3,5655
2026-04-21 11:07:00,459.1,462.25,456.3,461.95,1560
2026-04-21 11:08:00,460.5,463.0,459.1,460.0,6045
2026-04-21 11:09:00,462.85,462.85,454.25,454.85,2925
2026-04-21 11:10:00,455.75,455.75,448.0,450.45,2600
2026-04-21 11:11:00,449.25,453.85,449.25,453.8,1755
2026-04-21 11:12:00,452.45,454.0,451.4,454.0,2405
2026-04-21 11:13:00,455.0,458.0,454.0,454.0,3705
2026-04-21 11:14:00,455.2,458.15,453.05,455.35,2275
2026-04-21 11:15:00,455.5,455.5,452.5,452.5,520
2026-04-21 11:16:00,451.55,453.2,449.55,449.6,4550
2026-04-21 11:17:00,448.5,454.15,448.5,454.15,8515
2026-04-21 11:18:00,451.6,454.15,451.0,454.0,1755
2026-04-21 11:19:00,452.55,454.8,451.1,454.8,1040
2026-04-21 11:20:00,450.95,454.8,449.15,451.0,910
2026-04-21 11:21:00,451.0,451.0,451.0,451.0,0
2026-04-21 11:22:00,446.95,451.0,441.55,443.35,4810
2026-04-21 11:23:00,444.75,445.0,441.95,442.85,975
2026-04-21 11:24:00,443.35,448.15,442.85,445.1,5395
2026-04-21 11:25:00,443.15,448.1,443.15,445.35,3835
2026-04-21 11:26:00,443.55,445.35,439.7,440.95,5135
2026-04-21 11:27:00,441.65,443.1,436.85,437.25,3575
2026-04-21 11:28:00,436.25,438.0,428.4,438.0,4355
2026-04-21 11:29:00,438.0,438.55,434.8,438.05,2795
2026-04-21 11:30:00,435.95,439.5,432.95,434.3,2860
2026-04-21 11:31:00,435.7,435.7,430.0,430.0,2990
2026-04-21 11:32:00,432.85,432.9,425.0,425.0,4550
2026-04-21 11:33:00,425.3,428.25,420.4,423.8,11700
2026-04-21 11:34:00,425.15,426.8,422.65,422.75,8580
2026-04-21 11:35:00,422.5,423.0,414.0,415.75,9425
2026-04-21 11:36:00,416.0,431.55,415.75,431.2,11440
2026-04-21 11:37:00,428.0,432.55,425.0,429.45,4615
2026-04-21 11:38:00,426.85,435.7,426.85,433.3,8645
2026-04-21 11:39:00,435.0,436.0,428.6,428.6,3185
2026-04-21 11:40:00,428.0,428.6,428.0,428.6,390
2026-04-21 11:41:00,429.9,432.65,428.0,428.0,2210
2026-04-21 11:42:00,427.0,432.25,427.0,430.0,585
2026-04-21 11:43:00,433.5,433.5,430.0,433.0,1105
2026-04-21 11:44:00,431.25,437.85,431.25,435.95,9555
2026-04-21 11:45:00,437.5,441.0,435.95,438.5,3770
2026-04-21 11:46:00,440.7,446.25,438.5,445.3,5330
