datetime,open,high,low,close,volume
2026-02-20 09:15:00,49.0,49.0,38.4,46.5,2769455
2026-02-20 09:16:00,47.6,51.25,45.65,48.5,2624635
2026-02-20 09:17:00,49.35,49.35,41.95,41.95,1786980
2026-02-20 09:18:00,42.15,44.85,40.9,43.3,1224795
2026-02-20 09:19:00,43.4,45.35,42.25,44.3,888355
2026-02-20 09:20:00,44.8,45.95,43.35,44.25,889980
2026-02-20 09:21:00,44.2,48.1,44.2,44.95,1058915
2026-02-20 09:22:00,45.3,46.9,43.85,44.55,726375
2026-02-20 09:23:00,45.4,45.55,41.3,41.35,793325
2026-02-20 09:24:00,41.05,41.5,37.9,38.0,1193920
2026-02-20 09:25:00,38.05,38.8,36.4,37.25,926055
2026-02-20 09:26:00,37.5,39.45,37.25,38.65,768820
2026-02-20 09:27:00,38.3,39.5,37.8,38.8,418795
2026-02-20 09:28:00,38.5,38.8,36.95,36.95,497640
2026-02-20 09:29:00,36.9,37.6,34.3,34.3,1349855
2026-02-20 09:30:00,34.65,38.9,34.3,38.9,1144260
2026-02-20 09:31:00,38.8,39.2,36.25,36.5,687765
2026-02-20 09:32:00,36.45,40.35,35.95,40.15,667940
2026-02-20 09:33:00,40.3,43.9,40.1,43.45,1173900
2026-02-20 09:34:00,43.25,47.45,42.8,47.0,1900210
2026-02-20 09:35:00,46.55,48.3,45.4,45.65,1227720
2026-02-20 09:36:00,45.55,48.85,45.25,46.85,780455
2026-02-20 09:37:00,47.2,47.95,44.9,46.85,816010
2026-02-20 09:38:00,46.95,46.95,43.25,44.55,1232660
2026-02-20 09:39:00,44.9,46.5,44.55,45.8,550745
2026-02-20 09:40:00,45.9,45.9,43.15,45.05,400465
2026-02-20 09:41:00,45.4,45.4,43.1,44.0,362635
2026-02-20 09:42:00,43.8,48.7,42.85,46.8,763750
2026-02-20 09:43:00,47.1,50.05,46.8,49.2,1033370
2026-02-20 09:44:00,48.9,51.4,48.0,49.75,1136785
2026-02-20 09:45:00,49.95,51.8,48.55,49.95,1122940
2026-02-20 09:46:00,49.9,51.65,49.45,49.75,1204775
2026-02-20 09:47:00,50.15,54.0,49.75,52.95,1534455
2026-02-20 09:48:00,52.75,60.8,52.6,60.5,2746510
2026-02-20 09:49:00,61.2,61.65,56.2,59.55,1694420
2026-02-20 09:50:00,59.7,64.05,58.75,62.3,1687465
2026-02-20 09:51:00,62.35,63.75,60.0,62.35,1524965
2026-02-20 09:52:00,62.65,63.0,57.15,57.3,1210560
2026-02-20 09:53:00,57.5,59.65,56.4,57.55,878410
2026-02-20 09:54:00,57.5,59.2,55.7,59.05,717860
2026-02-20 09:55:00,59.1,60.55,57.45,59.6,501995
2026-02-20 09:56:00,60.5,65.85,59.6,63.95,1575860
2026-02-20 09:57:00,64.05,65.1,61.8,64.5,977405
2026-02-20 09:58:00,64.65,64.75,60.55,63.0,714220
2026-02-20 09:59:00,63.85,66.25,62.2,65.25,822835
2026-02-20 10:00:00,64.9,65.5,60.0,60.85,915070
2026-02-20 10:01:00,60.85,63.65,60.0,60.3,649025
2026-02-20 10:02:00,60.55,61.15,59.15,60.85,520520
2026-02-20 10:03:00,61.15,61.95,57.0,57.0,744900
2026-02-20 10:04:00,57.0,59.3,56.85,57.8,710190
2026-02-20 10:05:00,58.35,60.8,57.8,58.15,583115
