datetime,time,open,high,low,close,volume
2026-02-16 09:15:00,09:15:00,122.6,129.95,105.0,110.25,2870855
2026-02-16 09:16:00,09:16:00,109.55,110.25,88.8,94.25,3815955
2026-02-16 09:17:00,09:17:00,93.45,97.2,92.45,92.45,2054780
2026-02-16 09:18:00,09:18:00,91.2,94.15,87.45,89.45,2613780
2026-02-16 09:19:00,09:19:00,89.75,89.75,80.6,80.6,2668055
2026-02-16 09:20:00,09:20:00,80.75,85.45,77.7,82.15,3422510
2026-02-16 09:21:00,09:21:00,81.8,83.85,77.2,79.1,2032745
2026-02-16 09:22:00,09:22:00,103.6,104.2,96.05,98.35,2770690
2026-02-16 09:23:00,09:23:00,97.85,98.35,91.6,93.25,3036735
2026-02-16 09:24:00,09:24:00,93.25,99.6,92.95,92.95,2737930
2026-02-16 09:25:00,09:25:00,70.3,76.1,69.55,75.4,1717040
2026-02-16 09:26:00,09:26:00,74.8,80.1,74.35,78.35,2922010
2026-02-16 09:27:00,09:27:00,78.9,82.25,75.7,75.7,3425565
2026-02-16 09:28:00,09:28:00,100.25,102.0,91.85,92.5,2644720
2026-02-16 09:29:00,09:29:00,69.85,74.05,69.15,73.9,1534065
2026-02-16 09:30:00,09:30:00,97.0,98.75,86.9,87.15,3265665
2026-02-16 09:31:00,09:31:00,87.25,87.3,81.7,85.2,3691155
2026-02-16 09:32:00,09:32:00,84.2,86.15,83.2,85.6,2221050
2026-02-16 09:33:00,09:33:00,85.5,85.6,77.8,78.05,3222635
2026-02-16 09:34:00,09:34:00,78.45,79.9,74.35,77.4,3796910
2026-02-16 09:35:00,09:35:00,77.35,80.35,76.9,78.4,2735460
2026-02-16 09:36:00,09:36:00,79.2,82.15,78.4,81.9,2703090
2026-02-16 09:37:00,09:37:00,81.45,87.25,81.4,85.3,4151485
2026-02-16 09:38:00,09:38:00,85.5,87.5,83.3,87.25,2438605
2026-02-16 09:39:00,09:39:00,86.55,87.3,84.35,84.45,1835340
2026-02-16 09:40:00,09:40:00,83.55,93.25,83.55,91.5,4260295
2026-02-16 09:41:00,09:41:00,90.9,95.9,89.15,89.15,4292080
2026-02-16 09:42:00,09:42:00,88.6,89.75,86.1,88.7,2309710
2026-02-16 09:43:00,09:43:00,66.3,74.55,66.3,74.05,2827630
2026-02-16 09:44:00,09:44:00,73.95,78.3,73.55,76.25,3878940
2026-02-16 09:45:00,09:45:00,76.5,78.9,73.95,77.6,2936375
2026-02-16 09:46:00,09:46:00,77.35,78.45,70.5,72.3,2781415
2026-02-16 09:47:00,09:47:00,73.4,76.7,73.0,73.3,1700075
2026-02-16 09:48:00,09:48:00,74.15,79.1,73.3,78.3,2058030
2026-02-16 09:49:00,09:49:00,78.15,81.75,77.45,77.75,3295175
2026-02-16 09:50:00,09:50:00,77.85,80.3,75.95,79.2,2115750
2026-02-16 09:51:00,09:51:00,80.0,85.8,79.2,83.9,4339660
2026-02-16 09:52:00,09:52:00,84.0,88.7,83.6,84.9,3916900
2026-02-16 09:53:00,09:53:00,84.85,84.9,76.25,78.8,2942940
2026-02-16 09:54:00,09:54:00,78.4,80.25,72.65,72.65,2361190
2026-02-16 09:55:00,09:55:00,96.75,101.0,92.4,93.55,2714920
2026-02-16 09:56:00,09:56:00,69.7,71.5,67.9,70.95,1553435
2026-02-16 09:57:00,09:57:00,95.6,95.6,83.95,84.1,3109925
2026-02-16 09:58:00,09:58:00,84.6,86.5,81.6,86.15,3031015
2026-02-16 09:59:00,09:59:00,86.45,88.1,81.6,81.65,2286180
2026-02-16 10:00:00,10:00:00,81.35,82.3,76.0,81.15,4133155
2026-02-16 10:01:00,10:01:00,80.5,81.15,73.8,74.65,3596385
2026-02-16 10:02:00,10:02:00,76.0,76.85,70.1,72.1,4216160
2026-02-16 10:03:00,10:03:00,71.6,72.1,68.15,70.15,3990350
2026-02-16 10:04:00,10:04:00,92.95,97.0,91.5,91.5,1295255
2026-02-16 10:05:00,10:05:00,91.4,93.0,90.35,92.45,1160835
2026-02-16 10:06:00,10:06:00,69.15,72.2,67.8,72.2,2146040
2026-02-16 10:07:00,10:07:00,72.3,74.55,72.05,72.55,3185130
2026-02-16 10:08:00,10:08:00,72.8,75.2,71.95,71.95,2440490
2026-02-16 10:09:00,10:09:00,72.15,73.4,70.3,71.1,1520740
2026-02-16 10:10:00,10:10:00,70.9,73.0,70.6,72.6,1102790
2026-02-16 10:11:00,10:11:00,72.05,72.6,68.5,70.95,1865045
2026-02-16 10:12:00,10:12:00,94.35,94.35,80.95,81.4,2385565
2026-02-16 10:13:00,10:13:00,82.0,82.1,79.15,81.05,2498990
2026-02-16 10:14:00,10:14:00,81.55,86.8,81.05,82.0,1884675
2026-02-16 10:15:00,10:15:00,82.2,84.35,79.15,84.1,1640015
2026-02-16 10:16:00,10:16:00,84.25,86.0,83.2,83.55,1710605
2026-02-16 10:17:00,10:17:00,83.6,84.3,81.5,83.5,1006850
2026-02-16 10:18:00,10:18:00,83.3,83.85,80.95,81.65,753220
2026-02-16 10:19:00,10:19:00,81.3,83.7,80.85,83.45,787605
2026-02-16 10:20:00,10:20:00,83.5,86.2,81.85,85.85,1302405
2026-02-16 10:21:00,10:21:00,86.0,87.6,82.8,84.9,1413685
2026-02-16 10:22:00,10:22:00,84.8,86.15,84.15,85.15,598260
2026-02-16 10:23:00,10:23:00,85.05,87.8,84.5,87.65,855140
2026-02-16 10:24:00,10:24:00,87.7,90.7,86.6,90.6,1512420
2026-02-16 10:25:00,10:25:00,90.6,92.7,88.2,91.1,1723930
2026-02-16 10:26:00,10:26:00,69.4,70.3,68.1,68.9,1700400
2026-02-16 10:27:00,10:27:00,69.15,70.7,68.8,69.7,1641315
2026-02-16 10:28:00,10:28:00,69.55,70.85,68.6,70.3,1392495
2026-02-16 10:29:00,10:29:00,92.4,93.2,88.75,90.05,1059305
2026-02-16 10:30:00,10:30:00,68.05,69.8,67.75,69.5,1102205
2026-02-16 10:31:00,10:31:00,91.0,92.8,87.8,88.45,995800
2026-02-16 10:32:00,10:32:00,88.9,90.65,87.15,87.5,762970
2026-02-16 10:33:00,10:33:00,87.55,88.3,84.3,84.45,1208415
2026-02-16 10:34:00,10:34:00,84.5,88.6,84.45,88.6,572780
2026-02-16 10:35:00,10:35:00,86.75,89.85,85.5,88.7,603460
2026-02-16 10:36:00,10:36:00,88.0,88.95,85.8,86.0,469690
2026-02-16 10:37:00,10:37:00,87.2,90.3,86.0,89.75,566735
2026-02-16 10:38:00,10:38:00,67.65,70.25,67.65,69.45,1703845
2026-02-16 10:39:00,10:39:00,91.0,91.35,87.5,88.85,691080
2026-02-16 10:40:00,10:40:00,88.8,88.9,85.3,85.4,718900
2026-02-16 10:41:00,10:41:00,86.05,86.8,83.95,84.25,707265
2026-02-16 10:42:00,10:42:00,84.05,90.3,83.9,90.3,724685
2026-02-16 10:43:00,10:43:00,68.3,69.9,66.5,67.75,2276495
2026-02-16 10:44:00,10:44:00,90.25,90.9,87.15,87.9,580060
