datetime,time,open,high,low,close,volume
2026-02-24 09:15:00,09:15:00,116.7,116.7,61.55,61.55,5724615
2026-02-24 09:16:00,09:16:00,61.9,72.75,61.55,68.05,7268495
2026-02-24 09:17:00,09:17:00,68.25,74.55,64.5,64.5,5171855
2026-02-24 09:18:00,09:18:00,64.35,65.7,56.9,56.95,5309850
2026-02-24 09:19:00,09:19:00,84.9,85.0,78.2,78.2,1396720
2026-02-24 09:20:00,09:20:00,78.2,80.1,74.3,74.7,2678325
2026-02-24 09:21:00,09:21:00,74.4,80.45,70.0,70.0,2046135
2026-02-24 09:22:00,09:22:00,69.9,70.0,62.3,63.1,3526055
2026-02-24 09:23:00,09:23:00,62.95,71.45,62.95,63.7,3120130
2026-02-24 09:24:00,09:24:00,64.4,67.2,62.85,65.4,1831375
2026-02-24 09:25:00,09:25:00,65.25,67.05,60.45,61.35,2519465
2026-02-24 09:26:00,09:26:00,62.35,65.4,60.05,64.0,2183220
2026-02-24 09:27:00,09:27:00,64.55,73.1,63.45,70.95,3642340
2026-02-24 09:28:00,09:28:00,71.05,71.05,63.0,64.55,2357940
2026-02-24 09:29:00,09:29:00,64.7,67.95,61.55,61.55,1677065
2026-02-24 09:30:00,09:30:00,61.0,63.8,55.9,55.9,3883295
2026-02-24 09:31:00,09:31:00,56.25,60.2,54.85,55.15,3348020
2026-02-24 09:32:00,09:32:00,82.3,83.45,76.15,76.5,3171935
2026-02-24 09:33:00,09:33:00,75.95,76.5,70.65,71.4,4744415
2026-02-24 09:34:00,09:34:00,71.75,73.6,69.05,70.0,3033940
2026-02-24 09:35:00,09:35:00,70.15,74.7,68.75,72.7,2981095
2026-02-24 09:36:00,09:36:00,72.3,79.35,72.3,76.25,3255720
2026-02-24 09:37:00,09:37:00,77.15,80.7,74.25,74.25,2437565
2026-02-24 09:38:00,09:38:00,75.4,75.85,69.9,71.05,2403180
2026-02-24 09:39:00,09:39:00,71.15,73.65,70.4,70.85,1658410
2026-02-24 09:40:00,09:40:00,70.2,73.6,69.9,72.25,1858350
2026-02-24 09:41:00,09:41:00,72.8,75.8,72.25,74.2,2220270
2026-02-24 09:42:00,09:42:00,73.25,75.1,67.5,69.15,3049540
2026-02-24 09:43:00,09:43:00,68.8,69.15,60.2,61.6,6216080
2026-02-24 09:44:00,09:44:00,61.55,67.7,61.1,67.65,4631575
2026-02-24 09:45:00,09:45:00,67.3,70.85,65.0,70.75,4313140
2026-02-24 09:46:00,09:46:00,71.3,74.7,68.35,73.9,4239430
2026-02-24 09:47:00,09:47:00,50.1,52.8,47.75,52.75,3335215
2026-02-24 09:48:00,09:48:00,52.15,54.4,50.8,53.25,4725435
2026-02-24 09:49:00,09:49:00,53.2,53.75,50.85,51.8,2782195
2026-02-24 09:50:00,09:50:00,76.9,77.15,67.25,69.2,3622580
2026-02-24 09:51:00,09:51:00,68.9,69.65,65.65,67.2,2538315
2026-02-24 09:52:00,09:52:00,67.2,67.2,63.5,64.8,2382835
2026-02-24 09:53:00,09:53:00,64.45,68.75,62.55,67.3,2804815
2026-02-24 09:54:00,09:54:00,67.35,74.0,67.3,70.4,3841955
2026-02-24 09:55:00,09:55:00,70.7,75.65,70.2,70.8,2749760
2026-02-24 09:56:00,09:56:00,70.25,71.25,68.35,70.35,1791595
2026-02-24 09:57:00,09:57:00,71.25,73.35,69.55,71.05,1419795
2026-02-24 09:58:00,09:58:00,71.15,73.2,69.95,70.65,1118130
2026-02-24 09:59:00,09:59:00,70.45,72.6,69.15,70.55,1116700
2026-02-24 10:00:00,10:00:00,70.8,72.1,68.0,69.5,1772615
2026-02-24 10:01:00,10:01:00,69.3,74.9,68.05,73.25,2852460
2026-02-24 10:02:00,10:02:00,73.4,75.3,65.8,65.8,3099330
2026-02-24 10:03:00,10:03:00,65.85,70.15,64.3,65.6,2651545
2026-02-24 10:04:00,10:04:00,65.6,70.8,65.55,70.8,1498640
2026-02-24 10:05:00,10:05:00,70.85,75.35,70.65,73.7,2637115
2026-02-24 10:06:00,10:06:00,73.55,75.2,68.55,74.75,2054390
2026-02-24 10:07:00,10:07:00,75.3,78.0,73.9,75.5,3347825
2026-02-24 10:08:00,10:08:00,49.25,53.95,49.25,50.55,3625375
2026-02-24 10:09:00,10:09:00,77.6,77.8,69.1,69.35,2997020
2026-02-24 10:10:00,10:10:00,69.8,70.6,65.5,67.1,3097965
2026-02-24 10:11:00,10:11:00,66.65,67.1,60.1,61.2,3741465
2026-02-24 10:12:00,10:12:00,61.15,64.9,58.3,59.5,4007510
