datetime,time,open,high,low,close,volume
2026-02-24 09:15:00,09:15:00,50.0,72.85,50.0,72.5,10602475
2026-02-24 09:16:00,09:16:00,70.25,72.5,57.85,62.0,9958000
2026-02-24 09:17:00,09:17:00,62.15,67.55,59.2,67.5,7497295
2026-02-24 09:18:00,09:18:00,67.3,75.8,67.15,74.75,10895885
2026-02-24 09:19:00,09:19:00,50.35,55.0,49.75,54.9,6191640
2026-02-24 09:20:00,09:20:00,56.1,56.35,50.8,54.9,6871410
2026-02-24 09:21:00,09:21:00,54.4,58.2,49.25,58.05,7073040
2026-02-24 09:22:00,09:22:00,58.2,67.2,58.05,63.6,11269505
2026-02-24 09:23:00,09:23:00,63.35,63.6,54.4,60.35,6241885
2026-02-24 09:24:00,09:24:00,59.8,61.7,57.1,58.45,3458000
2026-02-24 09:25:00,09:25:00,57.95,65.0,56.35,64.1,5142280
2026-02-24 09:26:00,09:26:00,62.45,65.95,58.95,60.45,5798000
2026-02-24 09:27:00,09:27:00,59.6,61.45,51.75,52.45,5493800
2026-02-24 09:28:00,09:28:00,52.05,59.75,52.05,59.0,5021965
2026-02-24 09:29:00,09:29:00,58.7,62.3,55.7,62.3,3919110
2026-02-24 09:30:00,09:30:00,63.0,68.1,60.7,67.15,8396375
2026-02-24 09:31:00,09:31:00,66.75,68.95,63.2,68.65,6220955
2026-02-24 09:32:00,09:32:00,45.35,53.45,44.25,53.05,13085280
2026-02-24 09:33:00,09:33:00,54.5,69.1,53.05,63.95,16838250
2026-02-24 09:34:00,09:34:00,63.1,65.0,58.9,62.95,7586800
2026-02-24 09:35:00,09:35:00,62.75,64.2,57.85,61.9,6684015
2026-02-24 09:36:00,09:36:00,62.05,62.05,53.7,56.6,6654245
2026-02-24 09:37:00,09:37:00,55.45,57.4,51.45,57.4,5353140
2026-02-24 09:38:00,09:38:00,56.3,63.45,56.25,62.2,8211905
2026-02-24 09:39:00,09:39:00,62.6,63.5,59.45,62.2,5583305
2026-02-24 09:40:00,09:40:00,62.55,63.45,58.9,59.85,4706845
2026-02-24 09:41:00,09:41:00,59.1,59.85,56.6,58.15,3407885
2026-02-24 09:42:00,09:42:00,58.85,65.9,57.35,62.9,7236580
2026-02-24 09:43:00,09:43:00,63.45,80.15,62.9,76.2,15254980
2026-02-24 09:44:00,09:44:00,75.9,76.7,64.9,64.95,7849595
2026-02-24 09:45:00,09:45:00,65.1,68.65,61.4,61.55,5230745
2026-02-24 09:46:00,09:46:00,60.45,64.5,57.45,58.1,5464615
2026-02-24 09:47:00,09:47:00,84.95,88.5,78.35,78.35,2469415
2026-02-24 09:48:00,09:48:00,79.25,80.1,73.95,75.0,2909725
2026-02-24 09:49:00,09:49:00,75.4,79.5,74.15,77.15,2209350
2026-02-24 09:50:00,09:50:00,52.6,62.75,52.2,60.75,7838155
2026-02-24 09:51:00,09:51:00,60.9,63.3,59.35,61.35,6016660
2026-02-24 09:52:00,09:52:00,61.85,64.95,61.35,63.45,5209035
2026-02-24 09:53:00,09:53:00,63.6,66.5,59.05,60.55,5430815
2026-02-24 09:54:00,09:54:00,60.2,60.55,53.6,57.35,4699435
2026-02-24 09:55:00,09:55:00,56.95,57.5,51.9,55.4,3867890
2026-02-24 09:56:00,09:56:00,56.4,58.4,55.4,56.75,3079050
2026-02-24 09:57:00,09:57:00,55.95,58.65,54.0,56.55,2616380
2026-02-24 09:58:00,09:58:00,56.95,57.85,54.2,56.15,1992965
2026-02-24 09:59:00,09:59:00,56.3,57.1,54.25,55.45,1835730
2026-02-24 10:00:00,10:00:00,54.8,55.95,53.2,53.3,2766465
2026-02-24 10:01:00,10:01:00,53.05,54.85,49.5,50.7,4482725
2026-02-24 10:02:00,10:02:00,50.65,56.85,48.8,56.85,4230070
2026-02-24 10:03:00,10:03:00,57.1,58.2,53.2,58.05,5137925
2026-02-24 10:04:00,10:04:00,58.0,58.15,53.1,53.1,2699645
2026-02-24 10:05:00,10:05:00,52.8,53.1,49.25,50.65,3800550
2026-02-24 10:06:00,10:06:00,50.85,55.15,49.4,49.65,3271970
2026-02-24 10:07:00,10:07:00,49.1,50.25,45.85,47.25,5076565
2026-02-24 10:08:00,10:08:00,71.15,71.6,65.65,69.25,2346435
2026-02-24 10:09:00,10:09:00,45.05,51.8,44.9,51.8,5238350
2026-02-24 10:10:00,10:10:00,51.2,55.35,50.5,53.65,5471960
2026-02-24 10:11:00,10:11:00,54.25,60.8,53.65,59.4,6213805
2026-02-24 10:12:00,10:12:00,59.15,63.95,55.75,63.25,7331025
2026-02-24 10:13:00,10:13:00,63.7,69.55,62.95,69.55,10150205
2026-02-24 10:14:00,10:14:00,69.65,71.3,67.55,70.8,6720545
2026-02-24 10:15:00,10:15:00,69.65,71.05,63.85,66.9,5755360
2026-02-24 10:16:00,10:16:00,65.45,66.9,60.0,64.5,4697875
2026-02-24 10:17:00,10:17:00,64.75,75.45,64.5,74.5,10338705
2026-02-24 10:18:00,10:18:00,74.0,74.5,62.6,62.6,6895915
2026-02-24 10:19:00,10:19:00,62.25,64.0,56.85,58.55,6220175
2026-02-24 10:20:00,10:20:00,57.85,59.1,50.65,52.85,7477015
2026-02-24 10:21:00,10:21:00,53.65,56.95,52.85,56.4,5057520
2026-02-24 10:22:00,10:22:00,56.15,60.65,56.15,59.9,4523675
2026-02-24 10:23:00,10:23:00,59.35,63.4,59.2,61.2,4948385
2026-02-24 10:24:00,10:24:00,60.95,65.25,60.75,64.5,4225845
2026-02-24 10:25:00,10:25:00,64.65,65.3,60.35,62.75,3850275
2026-02-24 10:26:00,10:26:00,61.3,63.6,60.05,61.9,2731625
2026-02-24 10:27:00,10:27:00,61.5,61.9,57.5,58.15,3032900
2026-02-24 10:28:00,10:28:00,57.8,62.1,55.85,61.45,2976805
