Datetime,Open,High,Low,Close,Volume
2026-04-21 09:15:00,660.0,718.45,655.15,718.45,28710
2026-04-21 09:16:00,718.7,743.75,710.0,710.0,32130
2026-04-21 09:17:00,658.1,687.95,658.1,685.6,53910
2026-04-21 09:18:00,683.4,693.6,672.0,681.4,34590
2026-04-21 09:19:00,683.6,700.0,666.15,693.0,67680
2026-04-21 09:20:00,699.0,722.05,693.0,713.5,78780
2026-04-21 09:21:00,713.5,725.1,713.45,718.75,46620
2026-04-21 09:22:00,720.3,724.75,712.85,720.5,53220
2026-04-21 09:23:00,668.7,684.85,666.7,682.75,13860
2026-04-21 09:24:00,736.8,747.05,714.0,716.5,60210
2026-04-21 09:25:00,716.35,717.35,698.9,716.75,54570
2026-04-21 09:26:00,717.0,720.9,711.0,716.65,27960
2026-04-21 09:27:00,716.95,723.9,714.05,714.05,23910
2026-04-21 09:28:00,716.6,719.9,711.75,711.75,15660
2026-04-21 09:29:00,713.1,714.45,698.45,699.65,17520
2026-04-21 09:30:00,701.7,713.4,699.65,705.0,14040
2026-04-21 09:31:00,705.0,713.0,696.75,710.7,15900
2026-04-21 09:32:00,712.7,732.55,710.7,727.9,39120
2026-04-21 09:33:00,673.1,688.35,669.7,688.35,8430
2026-04-21 09:34:00,684.95,699.0,684.95,688.45,10590
2026-04-21 09:35:00,693.75,707.2,687.05,693.65,22530
2026-04-21 09:36:00,749.7,755.0,731.55,736.6,36810
2026-04-21 09:37:00,682.55,699.95,682.35,689.55,6780
2026-04-21 09:38:00,689.5,702.0,689.5,702.0,5460
2026-04-21 09:39:00,700.05,706.85,690.7,694.65,9030
2026-04-21 09:40:00,752.65,755.0,732.7,736.35,18480
2026-04-21 09:41:00,732.0,749.1,732.0,742.4,12030
2026-04-21 09:42:00,690.5,691.9,683.3,685.0,3180
2026-04-21 09:43:00,738.75,744.1,711.05,740.0,34290
2026-04-21 09:44:00,686.4,699.35,682.85,696.25,9360
2026-04-21 09:45:00,695.75,724.0,695.75,720.25,37890
2026-04-21 09:46:00,720.15,732.8,719.9,727.6,26130
2026-04-21 09:47:00,729.95,731.85,722.2,728.1,12330
2026-04-21 09:48:00,672.25,694.25,671.55,694.25,18270
2026-04-21 09:49:00,695.0,704.3,690.45,704.1,20100
2026-04-21 09:50:00,704.0,730.3,703.05,729.85,79920
