Datetime,Open,High,Low,Close,Volume
2026-04-28 09:15:00,28.45,31.5,16.75,16.9,8206120
2026-04-28 09:16:00,15.85,16.9,11.0,11.85,7069985
2026-04-28 09:17:00,10.85,11.85,10.5,11.35,5061355
2026-04-28 09:18:00,11.05,11.8,10.3,10.3,3663140
2026-04-28 09:19:00,10.1,10.6,8.8,9.1,3610230
2026-04-28 09:20:00,9.0,9.1,7.8,8.35,4846855
2026-04-28 09:21:00,8.15,9.45,8.05,8.7,3642990
2026-04-28 09:22:00,8.75,9.55,8.6,8.9,2342600
2026-04-28 09:23:00,8.75,9.3,8.45,9.0,1939470
2026-04-28 09:24:00,9.0,10.3,8.5,8.5,2674945
2026-04-28 09:25:00,8.65,8.65,6.45,6.45,3204305
2026-04-28 09:26:00,6.4,6.55,6.1,6.45,4158505
2026-04-28 09:27:00,6.6,7.45,6.45,6.95,2194465
2026-04-28 09:28:00,6.95,7.35,6.75,6.75,1289665
2026-04-28 09:29:00,6.75,7.5,6.55,7.4,1611935
2026-04-28 09:30:00,7.2,8.1,6.85,7.5,2143375
2026-04-28 09:31:00,7.6,8.4,7.5,8.2,2073695
2026-04-28 09:32:00,8.15,8.8,7.65,8.25,2313610
2026-04-28 09:33:00,8.35,8.85,7.45,7.7,2138565
2026-04-28 09:34:00,7.7,8.5,7.4,8.4,1448395
2026-04-28 09:35:00,8.5,10.25,8.4,9.5,2791100
2026-04-28 09:36:00,9.5,9.8,7.7,7.95,2400385
2026-04-28 09:37:00,8.15,8.15,7.3,7.7,1757080
2026-04-28 09:38:00,7.65,8.15,7.35,7.4,1533090
2026-04-28 09:39:00,7.4,8.25,7.35,7.7,1481415
2026-04-28 09:40:00,7.65,7.7,6.45,6.55,2166060
2026-04-28 09:41:00,6.55,6.55,5.9,6.0,1725295
2026-04-28 09:42:00,6.1,6.1,5.6,5.95,1551030
2026-04-28 09:43:00,6.0,6.1,5.4,5.55,1101945
2026-04-28 09:44:00,5.5,5.65,5.45,5.45,1375985
2026-04-28 09:45:00,5.4,5.5,5.1,5.15,2357615
2026-04-28 09:46:00,5.15,5.15,4.65,4.8,2892695
2026-04-28 09:47:00,4.85,5.0,4.8,4.9,1215305
2026-04-28 09:48:00,4.9,5.4,4.85,5.3,1042470
2026-04-28 09:49:00,5.2,5.85,5.2,5.85,1099085
2026-04-28 09:50:00,5.85,5.9,5.3,5.6,1129440
2026-04-28 09:51:00,5.7,5.8,5.45,5.75,821080
2026-04-28 09:52:00,5.75,6.2,5.75,5.9,1329510
2026-04-28 09:53:00,5.85,6.2,5.6,5.65,1067040
2026-04-28 09:54:00,5.55,5.95,5.25,5.25,1189955
2026-04-28 09:55:00,5.3,5.3,4.5,4.65,2105675
2026-04-28 09:56:00,4.65,4.8,4.5,4.55,3171935
2026-04-28 09:57:00,4.55,4.75,4.3,4.5,936195
2026-04-28 09:58:00,4.5,4.6,4.0,4.0,948155
2026-04-28 09:59:00,4.05,4.1,3.85,3.85,1126905
2026-04-28 10:00:00,3.9,3.9,3.65,3.65,1318525
2026-04-28 10:01:00,3.6,3.7,3.5,3.65,2017665
2026-04-28 10:02:00,3.7,3.75,3.6,3.65,1244230
2026-04-28 10:03:00,3.6,3.75,3.5,3.5,895180
2026-04-28 10:04:00,3.5,3.6,3.45,3.5,1052090
2026-04-28 10:05:00,3.55,3.7,3.5,3.7,1300260
2026-04-28 10:06:00,3.65,3.9,3.65,3.7,1213940
2026-04-28 10:07:00,3.75,3.8,3.25,3.3,1248195
2026-04-28 10:08:00,3.25,3.3,3.1,3.1,1311180
2026-04-28 10:09:00,3.1,3.15,3.0,3.15,809900
2026-04-28 10:10:00,3.15,3.3,3.15,3.2,822380
2026-04-28 10:11:00,3.25,3.3,3.2,3.2,602615
2026-04-28 10:12:00,3.3,3.4,3.2,3.3,602875
2026-04-28 10:13:00,3.3,3.65,3.25,3.55,622115
2026-04-28 10:14:00,3.5,3.6,3.35,3.4,550420
2026-04-28 10:15:00,3.45,3.65,3.25,3.3,747760
2026-04-28 10:16:00,3.25,3.3,2.85,2.95,1099345
2026-04-28 10:17:00,2.95,3.25,2.9,3.1,701285
2026-04-28 10:18:00,3.05,3.4,3.0,3.0,446485
2026-04-28 10:19:00,3.05,3.05,2.9,2.95,497640
2026-04-28 10:20:00,2.95,3.1,2.95,3.0,427115
2026-04-28 10:21:00,2.95,3.0,2.7,2.7,787020
2026-04-28 10:22:00,2.7,2.8,2.65,2.7,985985
2026-04-28 10:23:00,2.75,2.9,2.7,2.8,568750
2026-04-28 10:24:00,2.8,2.85,2.7,2.75,608660
2026-04-28 10:25:00,2.75,2.75,2.65,2.65,508820
2026-04-28 10:26:00,2.65,2.75,2.65,2.7,757575
2026-04-28 10:27:00,2.75,2.75,2.6,2.7,1028495
2026-04-28 10:28:00,2.75,2.85,2.7,2.7,985075
2026-04-28 10:29:00,2.75,2.9,2.7,2.85,879970
2026-04-28 10:30:00,2.85,2.9,2.8,2.9,529815
2026-04-28 10:31:00,2.9,3.0,2.85,2.95,599885
2026-04-28 10:32:00,2.95,3.05,2.9,3.05,503295
2026-04-28 10:33:00,3.1,3.1,2.95,3.0,588250
