Time,Spot,ATM_Strike,Used_Offset,Open,High,Low,Close,Volume
09:15:00,24106.35,24100,ATM,321.1,321.1,285.7,287.2,39455
09:16:00,24118.65,24100,ATM,286.15,288.25,278.4,280.0,28470
09:17:00,24110.9,24100,ATM,278.0,282.25,276.55,279.85,19565
09:18:00,24085.25,24100,ATM,282.0,295.3,279.65,294.65,18265
09:19:00,24090.8,24100,ATM,293.0,301.6,289.55,291.85,20540
09:20:00,24118.2,24100,ATM,287.95,291.85,269.75,270.3,18850
09:21:00,24099.5,24100,ATM,270.55,282.5,270.3,278.4,10855
09:22:00,24088.55,24100,ATM,277.05,286.9,275.9,284.6,17940
09:23:00,24060.65,24050,ATM+1,286.15,301.4,284.6,301.4,16055
09:24:00,24077.9,24100,ATM,301.7,301.7,292.35,292.35,14820
09:25:00,24071.0,24050,ATM+1,292.35,301.0,291.9,295.75,9425
09:26:00,24099.1,24100,ATM,295.25,295.75,278.1,278.1,10660
09:27:00,24107.35,24100,ATM,278.85,278.85,270.25,274.5,18720
09:28:00,24097.1,24100,ATM,275.95,280.25,271.65,277.7,13520
09:29:00,24111.55,24100,ATM,276.5,277.7,267.0,267.0,14950
09:30:00,24118.2,24100,ATM,266.55,269.25,264.0,264.3,9165
09:31:00,24122.35,24100,ATM,263.2,267.2,261.0,263.0,7085
09:32:00,24121.0,24100,ATM,262.0,264.0,261.15,263.45,3770
09:33:00,24103.65,24100,ATM,263.25,270.15,260.05,269.3,9880
09:34:00,24092.35,24100,ATM,270.45,277.05,269.3,274.45,6175
09:35:00,24097.35,24100,ATM,274.45,275.8,271.3,272.85,10270
09:36:00,24107.85,24100,ATM,272.45,276.05,267.65,269.95,13455
09:37:00,24100.85,24100,ATM,269.9,275.0,269.9,272.15,2990
09:38:00,24098.65,24100,ATM,273.5,275.4,272.15,275.4,2730
09:39:00,24105.05,24100,ATM,277.65,282.0,271.15,271.5,4030
09:40:00,24117.35,24100,ATM,271.35,272.4,265.75,266.15,5850
09:41:00,24109.8,24100,ATM,266.65,270.1,265.3,267.75,6370
09:42:00,24114.65,24100,ATM,266.55,269.1,263.95,263.95,4745
09:43:00,24125.65,24150,ATM-1,263.8,263.95,258.1,258.55,5200
09:44:00,24141.35,24150,ATM-1,258.95,259.5,252.1,252.8,20475
09:45:00,24146.8,24150,ATM-1,249.7,252.8,246.2,248.2,7475
09:46:00,24147.5,24150,ATM-1,249.0,249.0,245.8,246.0,3315
09:47:00,24155.7,24150,ATM-1,246.1,246.3,243.0,244.4,6305
09:48:00,24154.75,24150,ATM-1,244.2,244.65,242.5,243.2,3835
09:49:00,24164.8,24150,ATM-1,243.0,243.2,239.2,241.3,11180
09:50:00,24164.75,24150,ATM-1,240.25,241.3,238.7,240.0,3185
09:51:00,24168.25,24150,ATM-1,239.5,240.0,237.75,238.85,4745
09:52:00,24169.95,24150,ATM-1,238.85,238.85,236.65,237.0,3770
09:53:00,24171.45,24150,ATM-1,237.7,237.9,235.9,236.45,2665
09:54:00,24173.95,24150,ATM-1,256.05,256.85,254.1,254.55,1690
09:55:00,24175.4,24200,ATM-2,236.0,236.5,233.6,234.8,7475
09:56:00,24170.95,24150,ATM-1,235.55,237.0,234.05,235.6,6305
09:57:00,24174.0,24150,ATM-1,255.15,255.15,253.0,253.0,7930
09:58:00,24174.1,24150,ATM-1,232.4,232.85,230.1,231.8,7605
09:59:00,24173.2,24150,ATM-1,232.25,233.45,230.8,230.8,2275
10:00:00,24187.3,24200,ATM-2,230.2,230.8,224.45,224.85,11960
10:01:00,24202.9,24200,ATM-2,224.1,224.85,218.7,219.2,18980
10:02:00,24202.55,24200,ATM-2,220.2,220.95,216.0,219.0,18980
10:03:00,24205.65,24200,ATM-2,218.55,219.2,215.5,216.55,8060
10:04:00,24201.3,24200,ATM-2,217.25,218.6,216.55,217.4,4485
10:05:00,24202.1,24200,ATM-2,217.0,218.65,215.35,217.8,5850
10:06:00,24204.3,24200,ATM-2,219.7,219.7,215.85,216.7,3445
10:07:00,24206.35,24200,ATM-2,215.3,216.9,213.05,214.5,10660
10:08:00,24213.55,24200,ATM-2,213.5,216.0,211.2,211.2,10270
10:09:00,24211.75,24200,ATM-2,211.5,213.3,210.95,211.7,11310
10:10:00,24223.15,24200,ATM-2,211.7,213.25,208.0,208.65,10530
10:11:00,24219.0,24200,ATM-2,207.2,209.95,206.0,209.95,25545
10:12:00,24221.65,24200,ATM-2,209.45,209.95,207.5,208.1,3965
10:13:00,24226.7,24250,ATM-3,208.25,208.25,206.7,206.75,2210
10:14:00,24233.8,24250,ATM-3,208.35,208.35,204.6,204.9,12740
10:15:00,24239.2,24250,ATM-3,204.35,206.0,203.65,205.3,5200
10:16:00,24243.1,24250,ATM-3,204.55,205.3,202.6,202.6,11635
10:17:00,24245.9,24250,ATM-3,202.95,202.95,201.35,202.0,9490
10:18:00,24250.35,24250,ATM-3,202.45,203.1,201.0,202.4,5720
10:19:00,24243.1,24250,ATM-3,202.5,204.8,201.55,204.15,6370
10:20:00,24265.35,24250,ATM-3,204.05,204.15,198.6,199.5,9490
10:21:00,24268.95,24250,ATM-3,198.55,200.35,196.7,198.15,6825
10:22:00,24263.15,24250,ATM-3,198.1,199.35,196.25,198.5,5525
10:23:00,24268.55,24250,ATM-3,199.45,199.75,196.05,198.6,9100
10:24:00,24270.45,24250,ATM-3,198.7,199.9,198.0,199.9,7800
10:25:00,24271.35,24250,ATM-3,199.0,200.7,198.45,199.45,2795
10:30:00,24274.15,24250,ATM-3,194.35,198.8,194.2,197.85,3965
10:31:00,24271.6,24250,ATM-3,197.85,201.05,196.35,199.5,5460
10:38:00,24271.7,24250,ATM-3,199.55,201.0,199.5,201.0,2015
10:39:00,24268.7,24250,ATM-3,201.55,202.85,201.0,202.45,2795
10:40:00,24264.85,24250,ATM-3,201.2,203.6,201.0,203.6,4420
10:41:00,24272.6,24250,ATM-3,203.7,204.3,199.4,199.4,4550
10:42:00,24267.8,24250,ATM-3,201.15,202.35,199.4,202.35,1755
10:43:00,24267.95,24250,ATM-3,201.0,203.0,200.25,202.85,26845
10:44:00,24267.45,24250,ATM-3,202.7,203.0,199.65,199.65,1560
10:45:00,24259.1,24250,ATM-3,200.0,203.2,199.65,203.0,15210
10:46:00,24255.25,24250,ATM-3,203.0,203.65,201.6,203.65,5070
10:47:00,24262.1,24250,ATM-3,202.95,203.65,201.65,202.3,1495
10:48:00,24270.85,24250,ATM-3,201.45,202.3,198.9,198.9,910
10:49:00,24271.65,24250,ATM-3,198.9,200.2,197.95,197.95,2795
10:50:00,24273.65,24250,ATM-3,196.8,199.35,196.5,199.0,7215
11:25:00,24274.55,24250,ATM-3,209.6,209.6,203.45,209.6,195
11:28:00,24267.25,24250,ATM-3,194.1,195.35,190.8,194.95,1495
11:29:00,24263.25,24250,ATM-3,194.95,195.1,194.0,194.55,845
11:30:00,24271.15,24250,ATM-3,194.3,194.55,193.0,193.3,650
11:32:00,24271.75,24250,ATM-3,191.95,193.0,188.85,192.65,585
11:43:00,24274.95,24250,ATM-3,210.4,211.0,210.4,210.4,65
11:44:00,24271.85,24250,ATM-3,194.0,194.45,192.6,194.45,325
11:45:00,24269.75,24250,ATM-3,193.85,195.95,193.85,194.3,780
11:46:00,24265.8,24250,ATM-3,193.9,195.4,193.9,195.4,1820
11:47:00,24269.45,24250,ATM-3,194.7,195.4,194.4,194.4,390
11:48:00,24272.0,24250,ATM-3,193.3,194.4,193.0,193.0,1430
11:49:00,24267.05,24250,ATM-3,194.1,196.25,193.0,195.35,2210
11:50:00,24268.2,24250,ATM-3,195.0,195.35,194.8,194.95,325
11:51:00,24268.35,24250,ATM-3,194.85,194.95,194.5,194.5,390
11:52:00,24268.5,24250,ATM-3,193.55,194.5,193.3,193.3,130
11:53:00,24271.25,24250,ATM-3,192.65,193.3,192.65,193.0,130
11:54:00,24271.05,24250,ATM-3,192.45,194.35,192.45,194.35,390
11:55:00,24269.75,24250,ATM-3,193.45,194.45,193.45,194.45,130
11:56:00,24271.9,24250,ATM-3,193.85,194.45,193.85,193.85,325
11:57:00,24271.05,24250,ATM-3,192.1,194.2,192.1,194.2,715
11:58:00,24271.2,24250,ATM-3,195.15,195.15,193.8,193.8,130
