trade_date,Traded_Instruments_Str
2026-04-01,"NIFTY2640722850CE, NIFTY2640722900CE, NIFTY2640723000CE, NIFTY2640722800CE, NIFTY2640722850PE"
2026-04-02,"NIFTY2640722250PE, NIFTY2640722250CE, NIFTY2640722200PE, NIFTY2640722300CE, NIFTY2640722300PE, NIFTY2640722200CE, NIFTY2640722150PE, NIFTY2640722400CE, NIFTY2640722100PE, NIFTY2640722450CE, NIFTY2640721950PE, NIFTY2640722500CE, NIFTY2640722650CE"
2026-04-06,"NIFTY2640722650CE, NIFTY2640722700CE, NIFTY2640722900CE, NIFTY2640722550PE, NIFTY2640722600CE, NIFTY2640722550CE, NIFTY2640722500CE, NIFTY2640722450CE, NIFTY2640722700PE"
2026-04-07,NIFTY2640722750CE
2026-04-08,"NIFTY2641323900CE, NIFTY2641323900PE, NIFTY2641323950CE, NIFTY2641323800CE, NIFTY2641324000CE"
2026-04-09,"NIFTY2641323800PE, NIFTY2641323800CE, NIFTY2641323750PE, NIFTY2641323850CE, NIFTY2641323900PE, NIFTY2641323900CE, NIFTY2641323850PE, NIFTY2641323750CE, NIFTY2641323950PE"
2026-04-10,"NIFTY2641324000PE, NIFTY2641324000CE, NIFTY2641323950CE"
2026-04-13,"NIFTY2641323600CE, NIFTY2641323700PE, NIFTY2641323650CE"
2026-04-15,"NIFTY2642124200PE, NIFTY2642124200CE, NIFTY2642124150CE"
2026-04-16,"BANKNIFTY26APR56700CE, NIFTY2642124200PE, NIFTY2642124150PE, BANKNIFTY26APR56100PE, NIFTY2642124100PE"
2026-04-17,"NIFTY2642124200PE, NIFTY2642124150PE"
2026-04-20,NIFTY2642124350CE
2026-04-21,"NIFTY2642124350CE, NIFTY2642124400CE, BANKNIFTY26APR57300CE, BANKNIFTY26APR57300PE, NIFTY2642124450CE, BANKNIFTY26APR57400CE"
2026-04-22,"BANKNIFTY26APR57400PE, NIFTY26APR24450PE, BANKNIFTY26APR57400CE, NIFTY26APR24400PE, BANKNIFTY26APR57500CE"
2026-04-23,BANKNIFTY26APR56400PE
2026-04-24,"NIFTY26APR24000PE, NIFTY26APR23900PE"
2026-04-27,"NIFTY26APR24000CE, NIFTY26APR24100CE"
2026-04-28,NIFTY26APR24150PE
2026-04-29,NIFTY2650524100PE
2026-04-30,NIFTY2650524000CE
