Instrument,TradeType,Qty,Sell Time,Sell Price (Avg),Buy Time,Buy Price (Avg),Pt,Rs,trade_date,fill_count
NIFTY2632423650CE,sell,195,09:23:58,253.9,09:49:49,271.016667,-17.116667,-3337.75,2026-03-18,4
NIFTY2632423250CE,sell,195,09:39:37,261.0,09:50:21,251.95,9.05,1764.75,2026-03-20,5
NIFTY2632423700PE,sell,195,09:50:20,202.316667,09:55:42,217.7,-15.383333,-2999.75,2026-03-18,4
NIFTY2632423650CE,sell,195,09:55:54,253.466667,10:32:22,271.25,-17.783333,-3467.75,2026-03-18,4
NIFTY2632423250PE,sell,130,10:00:09,241.15,10:00:54,249.2,-8.05,-1046.5,2026-03-20,4
NIFTY2632423250CE,sell,130,10:01:33,240.85,10:46:59,277.55,-36.7,-4771.0,2026-03-20,3
NIFTY2632423300PE,sell,195,10:01:45,257.633333,10:55:56,257.166667,0.466667,91.0,2026-03-19,4
NIFTY2632423600CE,sell,65,10:36:24,294.7,10:48:05,314.6,-19.9,-1293.5,2026-03-18,2
NIFTY2632423650PE,sell,65,10:48:25,181.8,11:01:55,176.45,5.35,347.75,2026-03-18,2
NIFTY2632423350CE,sell,195,10:56:47,216.8,11:04:40,196.0,20.8,4056.0,2026-03-20,6
NIFTY2632423300CE,sell,65,10:59:35,208.55,11:02:13,206.9,1.65,107.25,2026-03-19,2
NIFTY2632423250PE,sell,130,11:13:53,245.25,11:14:25,259.35,-14.1,-1833.0,2026-03-19,3
NIFTY2632423250PE,sell,195,11:24:08,248.95,11:55:40,251.3,-2.35,-458.25,2026-03-19,5
